X,Y
45.235,19.921
45.272,19.830
45.316,19.738
45.365,19.646
45.420,19.553
45.481,19.460
45.547,19.366
45.618,19.272
45.694,19.177
45.774,19.082
45.860,18.987
45.949,18.892
46.043,18.796
46.140,18.700
46.242,18.604
46.346,18.509
46.455,18.412
46.566,18.316
46.681,18.221
46.798,18.125
46.918,18.029
47.040,17.933
47.165,17.838
47.292,17.743
47.420,17.648
47.551,17.554
47.682,17.460
47.815,17.366
47.949,17.273
48.085,17.181
48.220,17.089
48.357,16.997
48.493,16.906
48.630,16.816
48.767,16.727
48.903,16.639
49.040,16.551
49.177,16.464
49.313,16.377
49.449,16.291
49.586,16.206
49.722,16.122
49.859,16.038
49.995,15.955
50.132,15.873
50.268,15.791
50.405,15.710
50.542,15.629
50.679,15.549
50.816,15.470
50.954,15.391
51.092,15.313
51.230,15.235
51.368,15.157
51.506,15.081
51.645,15.004
51.784,14.929
51.924,14.853
52.064,14.778
52.204,14.704
52.345,14.630
52.486,14.556
52.628,14.483
52.770,14.410
52.912,14.337
53.056,14.265
53.199,14.193
53.344,14.122
53.489,14.051
53.634,13.980
53.780,13.909
53.927,13.839
54.075,13.769
54.223,13.699
54.372,13.630
54.522,13.560
54.672,13.491
54.823,13.422
54.975,13.353
55.128,13.284
55.281,13.215
55.435,13.146
55.590,13.076
55.746,13.007
55.902,12.938
56.059,12.868
56.217,12.798
56.376,12.728
56.535,12.658
56.695,12.587
56.856,12.516
57.018,12.444
57.181,12.372
57.344,12.299
57.508,12.226
57.673,12.153
57.839,12.079
58.006,12.004
58.173,11.928
58.342,11.852
58.511,11.775
58.681,11.697
58.852,11.619
59.024,11.539
59.196,11.459
59.370,11.377
59.544,11.295
59.720,11.212
59.896,11.128
60.073,11.042
60.251,10.956
60.429,10.868
60.609,10.779
60.790,10.689
60.971,10.598
61.154,10.505
61.337,10.411
61.521,10.316
61.706,10.220
61.892,10.122
62.079,10.023
62.266,9.924
62.454,9.823
62.643,9.722
62.832,9.620
63.021,9.517
