X,Y
46.258,23.424
46.313,23.408
46.372,23.395
46.436,23.383
46.505,23.374
46.578,23.368
46.655,23.363
46.737,23.361
46.822,23.360
46.912,23.362
47.005,23.366
47.103,23.372
47.204,23.379
47.308,23.389
47.416,23.400
47.528,23.414
47.642,23.429
47.760,23.446
47.881,23.464
48.005,23.484
48.131,23.506
48.261,23.529
48.393,23.554
48.528,23.580
48.665,23.608
48.804,23.636
48.946,23.667
49.089,23.698
49.235,23.731
49.383,23.765
49.532,23.800
49.683,23.836
49.836,23.873
49.990,23.912
50.146,23.951
50.303,23.991
50.461,24.032
50.620,24.074
50.780,24.116
50.941,24.160
51.103,24.204
51.266,24.249
51.429,24.294
51.592,24.340
51.756,24.386
51.920,24.433
52.084,24.480
52.248,24.528
52.413,24.576
52.576,24.624
52.740,24.673
52.903,24.721
53.066,24.770
53.229,24.819
53.390,24.868
53.551,24.917
53.711,24.966
53.869,25.015
54.027,25.064
54.184,25.113
54.339,25.162
54.494,25.210
54.648,25.259
54.800,25.307
54.952,25.356
55.103,25.404
55.252,25.452
55.401,25.500
55.549,25.548
55.696,25.596
55.842,25.644
55.988,25.692
56.132,25.740
56.276,25.787
56.419,25.835
56.561,25.882
56.702,25.930
56.843,25.977
56.982,26.024
57.122,26.071
57.260,26.118
57.398,26.165
57.535,26.212
57.671,26.259
57.807,26.305
57.942,26.352
58.077,26.399
58.211,26.445
58.344,26.492
58.477,26.538
58.610,26.584
58.742,26.630
58.873,26.677
59.004,26.723
59.134,26.769
59.264,26.815
59.394,26.860
59.523,26.906
59.652,26.952
59.780,26.998
59.908,27.043
60.036,27.089
60.164,27.134
60.291,27.180
60.417,27.225
60.544,27.270
60.670,27.316
60.796,27.361
60.922,27.406
61.048,27.451
61.173,27.496
61.299,27.541
61.424,27.586
61.549,27.631
61.674,27.675
61.799,27.720
61.923,27.765
62.048,27.809
62.173,27.854
62.297,27.899
62.421,27.943
62.546,27.987
62.670,28.032
62.793,28.076
62.917,28.121
63.040,28.165
63.163,28.209
63.285,28.254
63.407,28.298
63.529,28.343
63.650,28.387
63.770,28.432
63.890,28.476
