X	Y
35.805	10.479
35.879	10.475
35.973	10.472
36.085	10.470
36.213	10.469
36.354	10.469
36.508	10.470
36.672	10.472
36.844	10.474
37.021	10.477
37.204	10.480
37.388	10.484
37.572	10.489
37.755	10.493
37.935	10.498
38.109	10.502
38.277	10.507
38.441	10.513
38.600	10.520
38.755	10.528
38.906	10.538
39.053	10.549
39.198	10.563
39.340	10.579
39.480	10.598
39.618	10.621
39.754	10.647
39.890	10.676
40.025	10.710
40.160	10.749
40.293	10.791
40.425	10.836
40.555	10.885
40.682	10.936
40.805	10.990
40.924	11.045
41.038	11.102
41.147	11.159
41.249	11.216
41.344	11.274
41.431	11.331
41.510	11.387
41.581	11.444
41.642	11.503
41.695	11.565
41.737	11.631
41.771	11.702
41.794	11.781
41.806	11.867
41.809	11.962
41.801	12.062
41.784	12.168
41.759	12.278
41.725	12.389
41.684	12.501
41.635	12.612
41.580	12.722
41.518	12.827
41.451	12.927
41.378	13.022
41.300	13.110
41.216	13.193
41.126	13.271
41.030	13.344
40.928	13.413
40.820	13.477
40.705	13.536
40.584	13.592
40.456	13.644
40.321	13.692
40.179	13.738
40.032	13.780
39.880	13.820
39.724	13.857
39.567	13.892
39.408	13.925
39.249	13.956
39.092	13.985
38.938	14.012
38.787	14.039
38.642	14.064
38.503	14.088
38.371	14.112
38.248	14.136
38.135	14.159
38.030	14.181
37.931	14.201
37.837	14.218
37.744	14.230
37.652	14.238
37.557	14.240
37.459	14.234
37.354	14.221
37.242	14.199
37.122	14.167
36.996	14.127
36.866	14.079
36.734	14.024
36.602	13.962
36.470	13.893
36.341	13.818
36.218	13.737
36.100	13.652
35.991	13.562
35.891	13.468
35.804	13.371
35.729	13.270
35.666	13.167
35.615	13.062
35.573	12.956
35.540	12.849
35.514	12.741
35.495	12.634
35.480	12.528
35.469	12.422
35.461	12.319
35.455	12.218
35.449	12.119
35.446	12.023
35.443	11.930
35.443	11.839
35.445	11.751
35.449	11.665
35.455	11.582
35.463	11.502
35.474	11.425
35.487	11.351
35.500	11.280
35.513	11.214
35.525	11.152
35.536	11.095
35.544	11.042
35.551	10.992
35.558	10.943
35.566	10.892
35.576	10.836
35.589	10.775
35.605	10.711
35.622	10.650
35.642	10.594
35.663	10.549
35.686	10.516
35.713	10.496
35.751	10.485
35.805	10.479
