X	Y
152.583	45.083
152.631	45.038
152.692	44.999
152.765	44.966
152.850	44.939
152.947	44.916
153.054	44.898
153.171	44.885
153.298	44.875
153.434	44.869
153.578	44.867
153.729	44.867
153.888	44.870
154.053	44.876
154.224	44.883
154.400	44.891
154.580	44.901
154.765	44.912
154.952	44.923
155.143	44.934
155.335	44.945
155.529	44.956
155.724	44.965
155.920	44.973
156.116	44.981
156.311	44.988
156.507	44.995
156.703	45.001
156.898	45.007
157.093	45.013
157.286	45.019
157.479	45.025
157.670	45.031
157.860	45.039
158.048	45.047
158.235	45.055
158.419	45.065
158.601	45.076
158.780	45.088
158.957	45.102
159.132	45.118
159.303	45.135
159.470	45.154
159.635	45.175
159.796	45.199
159.952	45.225
160.105	45.253
160.254	45.284
160.398	45.318
160.538	45.355
160.673	45.395
160.803	45.437
160.931	45.483
161.054	45.530
161.175	45.580
161.293	45.632
161.409	45.686
161.522	45.742
161.635	45.799
161.746	45.858
161.856	45.918
161.966	45.978
162.075	46.040
162.185	46.102
162.296	46.165
162.408	46.228
162.521	46.292
162.636	46.355
162.753	46.418
162.872	46.481
162.993	46.543
163.117	46.606
163.241	46.668
163.366	46.731
163.492	46.794
163.617	46.858
163.742	46.923
163.867	46.988
163.990	47.054
164.111	47.122
164.231	47.191
164.348	47.261
164.462	47.334
164.572	47.408
164.679	47.483
164.782	47.562
164.880	47.642
164.973	47.725
165.061	47.810
165.143	47.898
165.219	47.989
165.289	48.082
165.352	48.177
165.409	48.274
165.460	48.372
165.504	48.471
165.541	48.571
165.571	48.671
165.594	48.772
165.610	48.872
165.618	48.972
165.619	49.071
165.613	49.169
165.598	49.266
165.576	49.361
165.546	49.454
165.508	49.546
165.464	49.635
165.413	49.723
165.356	49.810
165.293	49.895
165.226	49.978
165.153	50.060
165.076	50.140
164.995	50.220
164.910	50.298
164.823	50.375
164.733	50.451
164.640	50.525
164.546	50.599
164.451	50.672
164.355	50.744
164.258	50.816
164.160	50.886
164.061	50.956
163.963	51.025
163.863	51.093
163.764	51.160
163.664	51.226
163.565	51.292
163.465	51.357
163.365	51.421
163.266	51.485
163.167	51.547
163.069	51.609
162.971	51.670
162.874	51.731
162.778	51.790
162.683	51.849
162.588	51.907
162.495	51.964
162.402	52.020
162.309	52.074
162.218	52.125
162.126	52.175
162.034	52.221
161.943	52.265
161.851	52.305
161.760	52.342
161.668	52.374
161.575	52.402
161.482	52.426
161.388	52.445
161.293	52.458
161.197	52.466
161.100	52.470
161.002	52.469
160.904	52.465
160.805	52.459
160.705	52.452
160.605	52.444
160.504	52.436
160.403	52.429
160.302	52.425
160.201	52.422
160.100	52.424
159.998	52.429
159.897	52.440
159.797	52.457
159.696	52.481
159.596	52.511
159.497	52.546
159.399	52.586
159.301	52.631
159.206	52.679
159.111	52.729
159.019	52.782
158.929	52.836
158.840	52.891
158.755	52.946
158.671	53.000
158.591	53.053
158.514	53.104
158.440	53.152
158.369	53.197
158.301	53.238
158.236	53.275
158.172	53.308
158.109	53.337
158.046	53.362
157.982	53.382
157.917	53.398
157.850	53.409
157.779	53.415
157.705	53.417
157.627	53.413
157.545	53.405
157.461	53.393
157.373	53.377
157.284	53.359
157.193	53.338
157.101	53.315
157.010	53.292
156.919	53.267
156.829	53.243
156.741	53.219
156.655	53.196
156.572	53.174
156.492	53.155
156.416	53.137
156.343	53.122
156.272	53.107
156.202	53.094
156.134	53.080
156.065	53.067
155.996	53.054
155.927	53.040
155.855	53.024
155.782	53.008
155.705	52.989
155.626	52.968
155.544	52.945
155.459	52.919
155.372	52.891
155.284	52.861
155.193	52.828
155.101	52.793
155.007	52.755
154.913	52.714
154.817	52.671
154.721	52.624
154.624	52.575
154.528	52.522
154.431	52.467
154.335	52.408
154.239	52.346
154.144	52.282
154.050	52.214
153.958	52.143
153.868	52.068
153.779	51.991
153.693	51.911
153.609	51.828
153.528	51.742
153.451	51.653
153.377	51.561
153.306	51.466
153.240	51.368
153.178	51.267
153.120	51.164
153.068	51.058
153.020	50.949
152.978	50.837
152.940	50.723
152.907	50.608
152.877	50.491
152.851	50.372
152.827	50.254
152.806	50.134
152.787	50.015
152.769	49.896
152.752	49.779
152.736	49.662
152.720	49.547
152.704	49.434
152.687	49.323
152.669	49.215
152.649	49.110
152.627	49.008
152.602	48.911
152.576	48.816
152.547	48.725
152.517	48.637
152.487	48.550
152.456	48.466
152.425	48.383
152.394	48.301
152.364	48.219
152.336	48.138
152.309	48.056
152.285	47.974
152.263	47.891
152.244	47.806
152.229	47.719
152.217	47.631
152.209	47.542
152.203	47.452
152.201	47.362
152.202	47.272
152.206	47.182
152.213	47.092
152.223	47.003
152.236	46.915
152.252	46.829
152.271	46.744
152.293	46.662
152.317	46.582
152.343	46.504
152.371	46.427
152.399	46.352
152.426	46.279
152.452	46.205
152.477	46.133
152.498	46.060
152.516	45.988
152.530	45.915
152.539	45.841
152.542	45.766
152.539	45.690
152.533	45.614
152.525	45.538
152.517	45.463
152.512	45.390
152.510	45.321
152.515	45.254
152.527	45.192
152.549	45.135
152.583	45.083
