X	Y
33.544	16.853
33.568	16.753
33.600	16.649
33.642	16.542
33.692	16.433
33.749	16.320
33.814	16.206
33.886	16.088
33.965	15.969
34.049	15.847
34.139	15.724
34.234	15.599
34.334	15.472
34.438	15.345
34.546	15.216
34.658	15.087
34.772	14.957
34.888	14.826
35.007	14.695
35.127	14.565
35.248	14.434
35.369	14.304
35.491	14.174
35.613	14.045
35.735	13.916
35.858	13.788
35.980	13.661
36.104	13.534
36.228	13.407
36.353	13.281
36.478	13.155
36.605	13.030
36.732	12.905
36.861	12.781
36.991	12.657
37.122	12.533
37.255	12.410
37.389	12.287
37.525	12.164
37.663	12.041
37.802	11.919
37.944	11.797
38.087	11.675
38.233	11.553
38.381	11.432
38.531	11.310
38.684	11.189
38.839	11.068
38.997	10.947
39.157	10.826
39.320	10.705
39.484	10.584
39.651	10.464
39.818	10.344
39.987	10.224
40.157	10.104
40.328	9.985
40.499	9.867
40.670	9.748
40.840	9.631
41.011	9.514
41.181	9.397
41.350	9.281
41.518	9.166
41.684	9.051
41.849	8.937
42.012	8.824
42.173	8.712
42.331	8.600
42.487	8.489
42.640	8.380
42.789	8.271
42.935	8.163
43.077	8.057
43.216	7.951
43.350	7.847
43.479	7.743
43.605	7.641
43.726	7.540
43.844	7.439
43.959	7.339
44.072	7.240
44.182	7.141
44.290	7.042
44.397	6.944
44.502	6.845
44.607	6.747
44.712	6.648
44.817	6.549
44.923	6.449
45.029	6.348
45.137	6.247
45.246	6.145
45.358	6.042
45.472	5.937
45.589	5.832
45.709	5.725
45.833	5.616
45.961	5.505
46.093	5.394
46.229	5.280
46.368	5.166
46.510	5.051
46.656	4.934
46.804	4.817
46.955	4.700
47.109	4.582
47.266	4.463
47.425	4.345
47.585	4.226
47.748	4.108
47.913	3.990
48.079	3.872
48.247	3.755
48.417	3.639
48.587	3.524
48.758	3.410
48.930	3.297
49.103	3.185
49.277	3.075
49.450	2.966
49.624	2.859
49.798	2.754
49.972	2.652
50.145	2.551
50.318	2.453
50.490	2.358
50.662	2.264
50.833	2.174
51.003	2.086
51.173	2.000
51.343	1.918
51.512	1.838
51.680	1.760
51.848	1.685
52.015	1.613
52.182	1.544
52.348	1.478
52.514	1.414
52.679	1.353
52.844	1.296
53.008	1.241
53.171	1.189
53.335	1.140
53.497	1.093
53.660	1.050
53.821	1.010
53.983	0.973
54.143	0.939
54.304	0.909
54.464	0.881
54.623	0.857
54.782	0.836
54.940	0.818
55.096	0.803
55.252	0.792
55.405	0.784
55.557	0.780
55.707	0.779
55.855	0.782
56.000	0.788
56.143	0.798
56.282	0.811
56.419	0.828
56.552	0.849
56.682	0.874
56.808	0.903
56.930	0.935
57.048	0.972
57.162	1.012
57.271	1.057
57.375	1.105
57.474	1.158
57.569	1.215
57.659	1.277
57.745	1.343
57.826	1.414
57.903	1.490
57.975	1.571
58.043	1.656
58.106	1.748
58.166	1.844
58.221	1.946
58.272	2.054
58.320	2.168
58.363	2.287
58.402	2.413
58.437	2.544
58.469	2.681
58.498	2.823
58.523	2.969
58.545	3.119
58.564	3.274
58.580	3.431
58.594	3.592
58.605	3.755
58.614	3.920
58.622	4.086
58.627	4.254
58.631	4.423
58.633	4.592
58.634	4.760
58.634	4.929
58.633	5.096
58.632	5.262
58.629	5.426
58.627	5.588
58.624	5.748
58.621	5.904
58.618	6.057
58.616	6.207
58.613	6.354
58.609	6.499
58.605	6.641
58.601	6.782
58.596	6.921
58.589	7.058
58.582	7.195
58.573	7.331
58.563	7.466
58.551	7.602
58.537	7.737
58.522	7.874
58.504	8.010
58.484	8.148
58.461	8.288
58.436	8.429
58.408	8.572
58.378	8.717
58.344	8.865
58.307	9.015
58.267	9.168
58.225	9.323
58.180	9.480
58.132	9.639
58.082	9.799
58.029	9.962
57.974	10.126
57.917	10.292
57.858	10.459
57.797	10.627
57.733	10.797
57.668	10.968
57.601	11.139
57.533	11.311
57.463	11.485
57.391	11.658
57.318	11.832
57.244	12.007
57.169	12.182
57.092	12.357
57.014	12.532
56.936	12.707
56.857	12.881
56.777	13.055
56.696	13.229
56.615	13.402
56.533	13.575
56.451	13.746
56.368	13.916
56.285	14.084
56.202	14.251
56.118	14.416
56.034	14.579
55.951	14.740
55.867	14.898
55.783	15.054
55.699	15.207
55.615	15.357
55.532	15.504
55.449	15.647
55.366	15.788
55.283	15.924
55.201	16.057
55.120	16.185
55.039	16.309
54.959	16.429
54.879	16.544
54.800	16.654
54.722	16.760
54.644	16.861
54.566	16.958
54.489	17.051
54.410	17.141
54.332	17.228
54.252	17.312
54.171	17.394
54.089	17.474
54.005	17.553
53.919	17.630
53.830	17.706
53.739	17.782
53.646	17.858
53.549	17.934
53.449	18.010
53.346	18.088
53.239	18.166
53.128	18.246
53.013	18.326
52.896	18.406
52.774	18.486
52.650	18.566
52.523	18.646
52.393	18.725
52.259	18.803
52.123	18.880
51.985	18.955
51.844	19.029
51.700	19.101
51.554	19.170
51.406	19.237
51.256	19.302
51.103	19.363
50.949	19.421
50.793	19.475
50.635	19.526
50.476	19.573
50.315	19.615
50.153	19.653
49.989	19.687
49.824	19.718
49.657	19.744
49.489	19.767
