X	Y
33.947	18.627
34.008	18.582
34.085	18.545
34.179	18.514
34.287	18.490
34.410	18.472
34.546	18.460
34.694	18.454
34.854	18.453
35.024	18.457
35.205	18.466
35.394	18.480
35.591	18.497
35.796	18.519
36.006	18.545
36.222	18.573
36.443	18.605
36.667	18.640
36.894	18.678
37.123	18.718
37.353	18.759
37.584	18.803
37.813	18.848
38.041	18.894
38.266	18.942
38.488	18.990
38.707	19.038
38.923	19.087
39.135	19.137
39.345	19.188
39.551	19.239
39.756	19.291
39.958	19.344
40.157	19.398
40.355	19.452
40.550	19.508
40.744	19.564
40.936	19.621
41.127	19.679
41.317	19.738
41.505	19.798
41.692	19.859
41.878	19.921
42.064	19.985
42.249	20.049
42.434	20.114
42.619	20.181
42.804	20.248
42.988	20.317
43.173	20.387
43.359	20.458
43.545	20.531
43.732	20.605
43.919	20.680
44.107	20.756
44.296	20.834
44.485	20.913
44.674	20.993
44.864	21.074
45.054	21.157
45.244	21.241
45.433	21.326
45.623	21.413
45.812	21.501
46.001	21.590
46.189	21.680
46.377	21.771
46.564	21.864
46.750	21.958
46.936	22.053
47.120	22.149
47.303	22.246
47.485	22.345
47.666	22.445
47.845	22.546
48.022	22.648
48.198	22.752
48.372	22.856
48.545	22.962
48.715	23.069
48.883	23.177
49.050	23.286
49.213	23.396
49.375	23.508
49.534	23.620
49.691	23.733
49.845	23.847
49.997	23.962
50.146	24.078
50.292	24.194
50.436	24.311
50.576	24.429
50.714	24.548
50.848	24.667
50.979	24.786
51.107	24.906
51.232	25.027
51.353	25.148
51.471	25.269
51.586	25.391
51.696	25.513
51.803	25.635
51.907	25.757
52.006	25.879
52.101	26.002
52.193	26.125
52.280	26.247
52.363	26.370
52.441	26.493
52.515	26.615
52.584	26.738
52.647	26.860
52.706	26.983
52.759	27.105
52.807	27.227
52.850	27.349
52.886	27.471
52.917	27.592
52.941	27.713
52.960	27.834
52.972	27.955
52.977	28.075
52.976	28.195
52.969	28.315
52.955	28.434
52.935	28.553
52.909	28.671
52.878	28.789
52.841	28.907
52.799	29.024
52.752	29.140
52.699	29.256
52.642	29.372
52.580	29.487
52.514	29.601
52.444	29.715
52.370	29.828
52.292	29.940
52.210	30.052
52.125	30.163
52.036	30.273
51.944	30.383
51.849	30.491
51.750	30.599
51.648	30.705
51.544	30.810
51.436	30.915
51.325	31.017
51.212	31.119
51.096	31.219
50.977	31.318
50.856	31.415
50.732	31.510
50.606	31.604
50.477	31.696
50.346	31.786
50.213	31.874
50.078	31.960
49.940	32.044
49.801	32.126
49.660	32.206
49.517	32.284
49.372	32.360
49.225	32.435
49.076	32.508
48.926	32.579
48.773	32.649
48.619	32.717
48.463	32.784
48.305	32.850
48.146	32.914
47.985	32.978
47.822	33.040
47.658	33.101
47.492	33.162
47.324	33.222
47.155	33.281
46.985	33.339
46.812	33.397
46.639	33.455
46.464	33.512
46.287	33.569
46.109	33.626
45.930	33.682
45.750	33.737
45.569	33.791
45.387	33.844
45.205	33.896
45.022	33.946
44.839	33.994
44.655	34.041
44.472	34.085
44.289	34.126
44.106	34.165
43.924	34.202
43.742	34.235
43.561	34.264
43.381	34.291
43.202	34.313
43.024	34.332
42.848	34.346
42.673	34.356
42.500	34.362
42.329	34.363
42.159	34.358
41.992	34.349
41.827	34.334
41.665	34.314
41.505	34.289
41.348	34.258
41.194	34.223
41.042	34.182
40.894	34.136
40.749	34.085
40.608	34.029
40.470	33.969
40.336	33.903
40.205	33.833
40.079	33.758
39.957	33.678
39.839	33.593
39.725	33.504
39.616	33.411
39.512	33.313
39.412	33.210
39.318	33.104
39.228	32.992
39.143	32.877
39.062	32.757
38.985	32.634
38.912	32.506
38.841	32.375
38.774	32.239
38.709	32.100
38.646	31.957
38.585	31.811
38.525	31.661
38.466	31.508
38.408	31.351
38.350	31.192
38.292	31.029
38.234	30.862
38.175	30.693
38.115	30.521
38.054	30.346
37.990	30.168
37.925	29.988
37.857	29.805
37.787	29.620
37.714	29.432
37.639	29.242
37.562	29.051
37.484	28.858
37.404	28.664
37.323	28.468
37.241	28.272
37.158	28.076
37.075	27.879
36.991	27.682
36.907	27.485
36.823	27.288
36.740	27.092
36.657	26.897
36.575	26.703
36.494	26.510
36.414	26.319
36.335	26.129
36.258	25.941
36.183	25.756
36.110	25.573
36.039	25.392
35.971	25.215
35.905	25.041
35.843	24.870
35.783	24.702
35.727	24.539
35.674	24.379
35.622	24.223
35.573	24.070
35.526	23.922
35.479	23.777
35.434	23.635
35.389	23.498
35.344	23.363
35.298	23.233
35.252	23.106
35.205	22.983
35.156	22.863
35.105	22.746
35.052	22.634
34.996	22.524
34.937	22.418
34.874	22.316
34.808	22.217
34.738	22.122
34.665	22.029
34.590	21.940
34.515	21.853
34.439	21.769
34.365	21.687
34.293	21.607
34.224	21.529
34.159	21.453
34.100	21.378
34.046	21.304
34.000	21.231
33.962	21.159
33.933	21.088
33.913	21.017
33.900	20.946
33.895	20.875
33.895	20.804
33.900	20.731
33.908	20.657
33.919	20.582
33.931	20.505
33.943	20.426
33.955	20.344
33.965	20.261
33.974	20.175
33.981	20.088
33.986	19.999
33.989	19.910
33.990	19.819
33.988	19.728
33.983	19.637
33.975	19.546
33.964	19.456
33.950	19.366
33.932	19.277
33.912	19.190
33.892	19.105
33.875	19.023
33.863	18.944
33.858	18.870
33.861	18.800
33.876	18.736
33.904	18.678
33.947	18.627
