X,Y
35.254,20.904
35.265,20.846
35.279,20.786
35.296,20.723
35.316,20.658
35.338,20.591
35.363,20.521
35.391,20.450
35.422,20.377
35.454,20.302
35.490,20.225
35.528,20.147
35.568,20.068
35.610,19.986
35.654,19.904
35.701,19.820
35.750,19.736
35.801,19.650
35.853,19.564
35.908,19.476
35.964,19.388
36.023,19.300
36.083,19.211
36.144,19.121
36.207,19.031
36.272,18.941
36.338,18.851
36.406,18.761
36.475,18.671
36.546,18.582
36.617,18.492
36.690,18.403
36.764,18.314
36.839,18.225
36.915,18.136
36.993,18.047
37.071,17.959
37.151,17.870
37.232,17.782
37.313,17.693
37.396,17.605
37.480,17.516
37.564,17.428
37.649,17.339
37.736,17.250
37.823,17.162
37.911,17.073
37.999,16.984
38.089,16.894
38.179,16.805
38.269,16.715
38.361,16.625
38.453,16.535
38.546,16.445
38.639,16.354
38.733,16.263
38.827,16.172
38.922,16.080
39.017,15.988
39.113,15.895
39.209,15.802
39.305,15.709
39.402,15.615
39.499,15.520
39.596,15.425
39.694,15.330
39.792,15.234
39.890,15.137
39.988,15.040
40.087,14.942
40.185,14.843
40.284,14.744
40.383,14.644
40.481,14.544
40.580,14.443
40.679,14.342
40.778,14.240
40.877,14.138
40.976,14.035
41.075,13.932
41.174,13.828
41.273,13.724
41.372,13.620
41.471,13.515
41.570,13.410
41.669,13.304
41.767,13.199
41.866,13.092
41.964,12.986
42.062,12.879
42.160,12.773
42.258,12.665
42.355,12.558
42.452,12.451
42.549,12.343
42.646,12.235
42.743,12.127
42.839,12.019
42.935,11.911
43.031,11.802
43.126,11.694
43.221,11.585
43.316,11.477
43.410,11.368
43.504,11.260
43.597,11.151
43.690,11.043
43.783,10.934
43.875,10.826
43.966,10.718
44.057,10.609
44.148,10.501
44.238,10.393
44.328,10.286
44.417,10.178
44.505,10.071
44.593,9.963
44.681,9.856
44.768,9.749
44.855,9.643
44.942,9.536
45.028,9.430
45.114,9.324
45.199,9.218
45.285,9.112
45.370,9.007
45.454,8.901
45.539,8.796
45.623,8.691
45.708,8.587
45.792,8.482
45.876,8.378
45.959,8.275
46.043,8.171
46.127,8.068
46.211,7.965
46.295,7.862
46.378,7.759
46.462,7.657
46.546,7.555
46.630,7.453
46.714,7.352
46.799,7.251
46.883,7.150
46.968,7.050
47.053,6.950
47.138,6.850
47.223,6.750
47.309,6.651
47.395,6.552
47.481,6.454
47.568,6.356
47.655,6.258
47.742,6.161
47.830,6.064
47.919,5.967
48.007,5.871
48.097,5.775
48.186,5.679
48.276,5.584
48.367,5.489
48.458,5.395
48.549,5.301
48.640,5.207
48.732,5.114
48.825,5.021
48.918,4.929
49.011,4.837
49.104,4.746
49.198,4.655
49.292,4.564
49.387,4.474
49.482,4.384
49.577,4.295
49.673,4.206
49.768,4.118
49.865,4.030
49.961,3.943
50.058,3.856
50.155,3.770
50.252,3.684
50.350,3.599
50.448,3.514
50.546,3.430
50.645,3.346
50.744,3.263
50.843,3.180
50.942,3.098
51.041,3.016
51.141,2.935
51.241,2.855
51.341,2.775
51.442,2.695
51.542,2.616
51.643,2.538
51.744,2.460
51.845,2.383
51.947,2.307
52.048,2.231
52.150,2.156
52.252,2.083
52.354,2.010
52.456,1.938
52.558,1.867
52.660,1.797
52.762,1.728
52.864,1.661
52.966,1.594
53.069,1.530
53.171,1.466
53.273,1.404
53.375,1.344
53.477,1.285
53.579,1.227
53.680,1.172
53.782,1.118
53.884,1.066
53.985,1.016
54.086,0.968
54.187,0.921
54.288,0.877
54.388,0.835
54.489,0.795
54.589,0.757
54.688,0.722
54.788,0.688
54.887,0.658
54.986,0.629
55.084,0.603
55.182,0.580
55.280,0.560
55.377,0.542
55.474,0.526
55.571,0.514
55.667,0.504
55.762,0.496
55.856,0.492
55.950,0.490
56.043,0.491
56.135,0.494
56.226,0.501
56.317,0.509
56.406,0.521
56.494,0.536
56.581,0.553
56.667,0.573
56.751,0.595
56.835,0.621
56.916,0.649
56.997,0.680
57.076,0.714
57.153,0.750
57.229,0.789
57.303,0.831
57.376,0.876
57.447,0.924
57.516,0.974
57.583,1.028
57.648,1.084
57.711,1.142
57.773,1.204
57.833,1.268
57.891,1.335
57.948,1.404
58.003,1.475
58.056,1.549
58.109,1.626
58.160,1.704
58.210,1.785
58.258,1.867
58.306,1.952
58.352,2.039
58.398,2.127
58.442,2.218
58.486,2.310
58.529,2.404
58.571,2.500
58.613,2.597
58.654,2.696
58.695,2.797
58.735,2.898
58.775,3.001
58.814,3.106
58.853,3.211
58.892,3.318
58.931,3.426
58.970,3.535
59.009,3.645
59.048,3.756
59.087,3.867
59.126,3.980
59.166,4.093
59.205,4.207
59.244,4.321
59.283,4.437
59.322,4.552
59.361,4.668
59.399,4.785
59.438,4.902
59.475,5.020
59.513,5.137
59.550,5.255
59.586,5.373
59.622,5.492
59.657,5.610
59.692,5.729
59.726,5.847
59.759,5.966
59.791,6.084
59.822,6.202
59.853,6.320
59.883,6.438
59.911,6.555
59.939,6.673
59.965,6.789
59.991,6.906
60.015,7.021
60.038,7.137
60.059,7.251
60.079,7.365
60.098,7.479
60.116,7.591
60.131,7.703
60.146,7.814
60.158,7.924
60.170,8.034
60.179,8.142
60.187,8.249
60.193,8.356
60.198,8.461
60.201,8.566
60.203,8.671
60.204,8.775
60.203,8.878
60.201,8.981
60.198,9.084
60.194,9.186
60.188,9.288
60.182,9.390
60.175,9.492
60.167,9.594
60.158,9.696
60.148,9.798
60.138,9.901
60.127,10.003
60.115,10.106
60.103,10.210
60.091,10.313
60.078,10.418
60.064,10.523
60.051,10.629
60.037,10.735
60.023,10.843
60.009,10.951
59.994,11.060
59.980,11.170
59.966,11.282
59.952,11.395
59.938,11.508
59.924,11.623
59.910,11.740
59.897,11.857
59.883,11.976
59.870,12.095
59.856,12.216
59.842,12.337
59.829,12.460
59.815,12.583
59.800,12.706
59.786,12.830
59.771,12.955
59.756,13.080
59.740,13.206
59.724,13.332
59.707,13.458
59.690,13.585
59.672,13.712
59.653,13.838
59.634,13.965
59.614,14.092
59.593,14.219
59.571,14.345
59.548,14.471
59.525,14.597
59.500,14.722
59.475,14.847
59.448,14.972
59.420,15.096
59.391,15.219
59.361,15.342
59.329,15.463
59.296,15.584
59.262,15.704
59.226,15.823
59.189,15.941
59.150,16.058
59.110,16.174
59.068,16.288
59.024,16.401
58.979,16.513
58.932,16.624
58.884,16.734
58.834,16.842
58.783,16.949
58.731,17.054
58.676,17.159
58.621,17.262
58.564,17.365
58.506,17.466
58.446,17.565
58.385,17.664
58.323,17.762
58.260,17.858
58.195,17.953
58.129,18.047
58.062,18.140
57.994,18.232
57.924,18.323
57.854,18.413
57.782,18.501
57.710,18.589
57.636,18.675
57.562,18.760
57.486,18.845
57.410,18.928
57.333,19.010
57.254,19.092
57.175,19.172
57.095,19.251
57.014,19.329
56.933,19.406
56.851,19.483
56.767,19.558
56.684,19.632
56.599,19.705
56.514,19.778
56.428,19.849
56.341,19.920
56.253,19.989
56.164,20.058
56.075,20.126
55.984,20.193
55.892,20.259
55.800,20.324
55.706,20.389
55.611,20.452
55.515,20.515
55.418,20.577
55.320,20.638
55.221,20.698
55.120,20.758
55.018,20.816
54.915,20.874
54.810,20.932
54.705,20.988
54.597,21.044
54.489,21.099
54.378,21.153
54.267,21.207
54.153,21.260
54.039,21.312
53.922,21.363
53.804,21.414
53.685,21.465
53.564,21.514
53.441,21.563
53.316,21.611
53.190,21.659
53.061,21.706
52.931,21.753
52.800,21.799
52.666,21.845
52.530,21.889
52.393,21.934
52.255,21.978
52.114,22.021
51.972,22.064
51.829,22.106
51.684,22.148
51.538,22.189
51.390,22.230
51.241,22.270
51.091,22.310
50.940,22.350
50.788,22.389
50.634,22.428
50.480,22.466
50.324,22.504
50.168,22.541
50.010,22.578
49.852,22.615
49.694,22.652
49.534,22.688
49.374,22.723
49.213,22.759
49.051,22.794
48.889,22.829
48.727,22.863
48.564,22.897
48.401,22.931
48.237,22.965
48.074,22.998
47.910,23.032
47.746,23.065
47.581,23.097
47.417,23.130
47.253,23.162
47.089,23.194
46.925,23.226
46.761,23.258
46.597,23.290
46.434,23.321
46.270,23.353
46.108,23.384
45.945,23.415
45.783,23.446
45.622,23.477
45.461,23.508
45.301,23.539
45.141,23.570
44.982,23.600
44.824,23.631
44.667,23.661
44.510,23.692
44.355,23.722
44.200,23.752
44.046,23.781
43.893,23.811
43.741,23.840
43.590,23.868
43.441,23.897
43.292,23.924
43.144,23.952
42.997,23.979
42.852,24.005
42.708,24.031
42.565,24.056
42.423,24.081
42.283,24.105
42.144,24.128
42.006,24.151
41.870,24.173
41.735,24.194
41.602,24.214
41.470,24.234
41.340,24.253
41.211,24.270
41.084,24.287
40.958,24.303
40.834,24.318
40.712,24.332
40.592,24.344
40.473,24.356
40.356,24.366
40.241,24.376
40.128,24.384
40.016,24.391
39.907,24.397
39.800,24.401
39.694,24.404
39.591,24.406
39.489,24.406
39.390,24.405
39.293,24.403
39.197,24.399
39.104,24.394
39.012,24.388
38.923,24.381
38.835,24.372
38.748,24.362
38.663,24.352
38.580,24.340
38.499,24.327
38.418,24.314
38.339,24.299
38.262,24.284
38.185,24.268
38.110,24.251
38.036,24.234
37.963,24.215
37.891,24.197
37.820,24.177
37.750,24.157
37.680,24.137
37.612,24.116
37.544,24.095
37.477,24.074
37.410,24.052
37.344,24.030
37.278,24.008
37.213,23.985
37.149,23.963
37.084,23.940
37.021,23.918
36.957,23.895
36.894,23.872
36.832,23.850
36.769,23.827
36.707,23.805
36.645,23.782
36.584,23.760
36.522,23.738
36.461,23.717
36.400,23.696
36.338,23.675
36.277,23.654
36.217,23.634
36.156,23.615
36.095,23.596
36.034,23.577
35.974,23.558
35.915,23.540
35.857,23.521
35.801,23.501
35.746,23.481
35.693,23.460
35.643,23.438
35.595,23.415
35.550,23.390
35.508,23.364
35.470,23.336
35.436,23.306
35.405,23.274
35.379,23.240
35.357,23.203
35.340,23.163
35.328,23.121
35.319,23.077
35.313,23.031
35.311,22.983
35.311,22.933
35.313,22.882
35.318,22.829
35.323,22.776
35.330,22.721
35.337,22.666
35.345,22.610
35.353,22.554
35.359,22.498
35.366,22.441
35.370,22.385
35.374,22.329
35.376,22.273
35.377,22.218
35.376,22.163
35.375,22.109
35.373,22.055
35.369,22.002
35.365,21.949
35.360,21.897
35.354,21.846
35.347,21.795
35.340,21.746
35.332,21.697
35.323,21.649
35.314,21.603
35.305,21.557
35.296,21.512
35.286,21.469
35.277,21.425
35.268,21.382
35.259,21.338
35.252,21.295
35.246,21.250
35.241,21.205
35.238,21.159
35.236,21.112
35.237,21.063
35.240,21.012
35.245,20.959
35.254,20.904
