X,Y
35.084,22.796
35.111,22.769
35.140,22.742
35.173,22.716
35.209,22.690
35.248,22.665
35.290,22.641
35.334,22.617
35.382,22.593
35.432,22.570
35.484,22.548
35.540,22.526
35.597,22.504
35.657,22.483
35.719,22.462
35.783,22.442
35.849,22.423
35.917,22.403
35.988,22.384
36.059,22.366
36.133,22.348
36.208,22.330
36.285,22.313
36.363,22.296
36.442,22.279
36.523,22.263
36.605,22.247
36.688,22.231
36.772,22.216
36.857,22.201
36.943,22.187
37.029,22.172
37.116,22.158
37.204,22.145
37.292,22.131
37.381,22.118
37.469,22.105
37.559,22.093
37.648,22.080
37.737,22.068
37.826,22.056
37.915,22.044
38.004,22.033
38.093,22.021
38.181,22.010
38.269,21.999
38.356,21.988
38.443,21.977
38.528,21.967
38.613,21.956
38.698,21.946
38.782,21.936
38.865,21.926
38.947,21.916
39.029,21.906
39.110,21.897
39.191,21.887
39.272,21.878
39.352,21.868
39.431,21.859
39.510,21.850
39.589,21.841
39.668,21.832
39.746,21.823
39.824,21.814
39.901,21.805
39.979,21.797
40.056,21.788
40.133,21.780
40.210,21.771
40.286,21.763
40.363,21.754
40.440,21.746
40.516,21.738
40.593,21.729
40.670,21.721
40.746,21.713
40.823,21.705
40.900,21.696
40.977,21.688
41.055,21.680
41.132,21.672
41.210,21.664
41.288,21.655
41.366,21.647
41.445,21.639
41.524,21.631
41.603,21.622
41.683,21.614
41.763,21.606
41.844,21.597
41.925,21.589
42.007,21.580
42.089,21.572
42.172,21.563
42.255,21.555
42.340,21.546
42.424,21.537
42.510,21.528
42.596,21.519
42.683,21.510
42.771,21.501
42.859,21.492
42.948,21.483
43.038,21.474
43.128,21.465
43.219,21.455
43.311,21.446
43.403,21.437
43.495,21.427
43.589,21.418
43.682,21.408
43.777,21.399
43.871,21.390
43.967,21.380
44.062,21.371
44.158,21.362
44.255,21.352
44.352,21.343
44.449,21.334
44.547,21.325
44.645,21.316
44.743,21.307
44.842,21.298
44.940,21.289
45.039,21.280
45.139,21.271
45.238,21.263
45.338,21.254
45.438,21.246
45.538,21.237
45.639,21.229
45.739,21.221
45.839,21.213
45.940,21.206
46.041,21.198
46.141,21.191
46.242,21.183
46.343,21.176
46.444,21.169
46.545,21.162
46.645,21.156
46.746,21.149
46.846,21.143
46.947,21.137
47.047,21.131
47.148,21.126
47.248,21.120
47.348,21.115
47.447,21.110
47.547,21.106
47.646,21.101
47.745,21.097
47.844,21.093
47.942,21.090
48.041,21.086
48.138,21.083
48.236,21.081
48.333,21.078
48.430,21.076
48.526,21.074
48.622,21.073
48.718,21.071
48.813,21.070
48.908,21.070
49.002,21.069
49.096,21.069
49.189,21.070
49.282,21.070
49.375,21.071
49.468,21.072
49.560,21.074
49.652,21.075
49.743,21.077
49.834,21.079
49.925,21.082
50.015,21.084
50.106,21.087
50.195,21.091
50.285,21.094
50.374,21.098
50.464,21.101
50.552,21.106
50.641,21.110
50.729,21.114
50.817,21.119
50.905,21.124
50.993,21.129
51.081,21.135
51.168,21.140
51.255,21.146
51.342,21.152
51.429,21.158
51.515,21.164
51.602,21.170
51.688,21.177
51.774,21.184
51.860,21.191
51.946,21.198
52.032,21.205
52.118,21.212
52.203,21.220
52.289,21.227
52.374,21.235
52.460,21.243
52.545,21.251
52.630,21.259
52.716,21.267
52.801,21.275
52.886,21.284
52.971,21.292
53.056,21.301
53.142,21.309
53.227,21.318
53.312,21.327
53.397,21.336
53.483,21.345
53.568,21.354
53.653,21.363
53.739,21.372
53.824,21.381
53.909,21.391
53.995,21.400
54.080,21.410
54.165,21.420
54.250,21.430
54.335,21.441
54.419,21.452
54.503,21.463
54.587,21.475
54.671,21.488
54.754,21.500
54.837,21.514
54.919,21.527
55.001,21.542
55.082,21.557
55.163,21.573
55.243,21.589
55.323,21.606
55.402,21.624
55.480,21.643
55.558,21.662
55.635,21.682
55.711,21.704
55.787,21.726
55.861,21.749
55.935,21.773
56.008,21.798
56.079,21.824
56.150,21.851
56.220,21.880
56.289,21.909
56.357,21.940
56.424,21.972
56.489,22.005
56.554,22.039
56.617,22.075
56.679,22.112
56.739,22.151
56.799,22.191
56.857,22.232
56.914,22.275
56.969,22.320
57.023,22.366
57.076,22.413
57.126,22.462
57.176,22.513
57.224,22.566
57.270,22.620
57.315,22.676
57.358,22.733
57.400,22.793
57.440,22.853
57.479,22.915
57.516,22.979
57.552,23.044
57.586,23.110
57.619,23.177
57.651,23.246
57.681,23.316
57.710,23.388
57.738,23.460
57.764,23.534
57.789,23.608
57.813,23.684
57.835,23.761
57.856,23.838
57.876,23.917
57.895,23.996
57.913,24.076
57.929,24.157
57.944,24.239
57.958,24.321
57.971,24.404
57.983,24.487
57.994,24.572
58.004,24.656
58.013,24.741
58.020,24.827
58.027,24.913
58.033,24.999
58.038,25.086
58.042,25.173
58.044,25.260
58.046,25.347
58.048,25.435
58.048,25.523
58.047,25.610
58.046,25.698
58.043,25.786
58.040,25.873
58.036,25.961
58.032,26.048
58.026,26.135
58.020,26.222
58.014,26.309
58.006,26.395
57.998,26.481
57.989,26.567
57.980,26.652
57.969,26.737
57.959,26.822
57.947,26.906
57.935,26.989
57.923,27.073
57.910,27.156
57.896,27.239
57.882,27.321
57.867,27.403
57.852,27.485
