X	Y
363.000	163.000
363.474	161.439
364.145	159.819
365.005	158.146
366.042	156.428
367.244	154.670
368.603	152.879
370.107	151.061
371.746	149.224
373.508	147.372
375.384	145.514
377.362	143.656
379.433	141.803
381.585	139.962
383.808	138.141
386.092	136.345
388.425	134.581
390.797	132.855
393.197	131.175
395.616	129.545
398.041	127.974
400.464	126.465
402.879	125.018
405.281	123.629
407.665	122.296
410.026	121.016
412.358	119.786
414.658	118.603
416.920	117.464
419.139	116.367
421.311	115.309
423.429	114.287
425.491	113.298
427.489	112.339
429.420	111.407
431.279	110.500
433.060	109.615
434.760	108.749
436.371	107.899
437.891	107.062
439.317	106.236
440.662	105.421
441.944	104.619
443.181	103.830
444.391	103.056
445.591	102.298
446.801	101.557
448.038	100.835
449.319	100.132
450.664	99.450
452.088	98.789
453.612	98.152
455.250	97.538
457.003	96.948
458.862	96.379
460.819	95.831
462.866	95.300
464.995	94.787
467.198	94.289
469.465	93.805
471.789	93.334
474.162	92.872
476.576	92.420
479.021	91.975
481.490	91.536
483.975	91.102
486.467	90.670
488.958	90.239
491.439	89.808
493.904	89.375
496.342	88.938
498.750	88.497
501.128	88.052
503.480	87.604
505.811	87.155
508.122	86.705
510.418	86.256
512.701	85.808
514.975	85.363
517.244	84.922
519.510	84.485
521.777	84.055
524.049	83.631
526.328	83.216
528.619	82.809
530.923	82.413
533.246	82.028
535.589	81.655
537.957	81.295
540.353	80.950
542.777	80.620
545.223	80.306
547.682	80.005
550.147	79.719
552.610	79.447
555.063	79.188
557.498	78.943
559.908	78.710
562.284	78.490
564.619	78.282
566.904	78.085
569.132	77.900
571.296	77.726
573.386	77.563
575.396	77.410
577.317	77.267
579.141	77.134
580.861	77.010
582.472	76.897
583.979	76.807
585.393	76.754
586.726	76.754
587.987	76.823
589.188	76.975
590.338	77.224
591.448	77.588
592.530	78.079
593.594	78.714
594.649	79.507
595.695	80.456
596.727	81.547
597.736	82.767
598.715	84.102
599.658	85.539
600.557	87.065
601.404	88.666
602.194	90.327
602.918	92.037
603.569	93.780
604.141	95.544
604.625	97.315
605.016	99.080
605.307	100.828
605.503	102.562
605.609	104.286
605.629	106.006
605.569	107.726
605.434	109.451
605.230	111.187
604.961	112.938
604.632	114.709
604.249	116.505
603.817	118.331
603.341	120.192
602.826	122.093
602.277	124.038
601.700	126.033
601.097	128.076
600.471	130.161
599.823	132.282
599.155	134.432
598.468	136.605
597.764	138.794
597.045	140.993
596.312	143.195
595.568	145.393
594.813	147.582
594.049	149.754
593.279	151.904
592.503	154.024
591.723	156.108
590.941	158.150
590.159	160.143
589.378	162.081
588.600	163.957
587.822	165.768
587.035	167.515
586.234	169.197
585.410	170.814
584.556	172.367
583.665	173.855
582.729	175.280
581.740	176.640
580.691	177.936
579.575	179.168
578.383	180.337
577.110	181.442
575.746	182.484
574.286	183.462
572.729	184.377
571.086	185.230
569.365	186.022
567.576	186.753
565.729	187.424
563.834	188.035
561.900	188.588
559.936	189.084
557.954	189.522
555.961	189.903
553.968	190.229
551.984	190.501
550.019	190.718
548.082	190.881
546.184	190.992
544.332	191.052
542.527	191.068
540.767	191.050
539.050	191.006
537.373	190.946
535.734	190.879
534.132	190.814
532.564	190.760
531.028	190.727
529.522	190.723
528.043	190.758
526.591	190.841
525.162	190.980
523.754	191.184
522.359	191.450
520.967	191.773
519.569	192.148
518.157	192.569
516.719	193.030
515.248	193.527
513.733	194.053
512.166	194.604
510.536	195.174
508.835	195.758
507.052	196.350
505.180	196.945
503.209	197.537
501.143	198.125
498.987	198.706
496.747	199.279
494.429	199.841
492.038	200.392
489.580	200.929
487.060	201.450
484.485	201.954
481.859	202.438
479.189	202.902
476.481	203.343
473.740	203.759
470.971	204.149
468.181	204.510
465.375	204.842
462.558	205.142
459.737	205.408
456.918	205.638
454.105	205.831
451.304	205.986
448.521	206.099
445.757	206.173
443.012	206.209
440.286	206.208
437.580	206.172
434.893	206.102
432.225	205.999
429.578	205.866
426.950	205.704
424.343	205.513
421.755	205.296
419.188	205.055
416.641	204.789
414.115	204.502
411.610	204.195
409.126	203.868
406.663	203.525
404.221	203.165
401.800	202.790
399.400	202.403
397.023	202.004
394.668	201.594
392.345	201.170
390.064	200.728
387.833	200.263
385.663	199.773
383.563	199.251
381.544	198.696
379.614	198.101
377.784	197.464
376.064	196.780
374.463	196.045
372.992	195.255
371.659	194.406
370.474	193.493
369.448	192.513
368.590	191.463
367.894	190.347
367.344	189.184
366.920	187.988
366.605	186.778
366.379	185.570
366.225	184.379
366.123	183.225
366.056	182.122
366.004	181.087
365.951	180.133
365.885	179.247
365.797	178.406
365.676	177.591
365.515	176.780
365.302	175.951
365.029	175.084
364.691	174.159
364.307	173.172
363.907	172.123
363.517	171.012
363.168	169.836
362.886	168.598
362.700	167.295
362.638	165.928
362.729	164.497
363.000	163.000
