X	Y
329.000	205.000
330.105	204.273
331.446	203.618
333.013	203.033
334.795	202.513
336.779	202.056
338.955	201.659
341.311	201.318
343.836	201.030
346.518	200.793
349.346	200.603
352.309	200.457
355.395	200.352
358.593	200.285
361.892	200.252
365.279	200.251
368.744	200.278
372.276	200.331
375.862	200.405
379.492	200.499
383.155	200.608
386.838	200.731
390.530	200.862
394.221	201.001
397.898	201.143
401.550	201.285
405.167	201.424
408.735	201.557
412.245	201.681
415.685	201.793
419.043	201.889
422.308	201.967
425.470	202.024
428.523	202.058
431.475	202.072
434.332	202.069
437.098	202.050
439.781	202.018
442.385	201.975
444.918	201.923
447.384	201.865
449.791	201.803
452.143	201.739
454.446	201.675
456.707	201.613
458.932	201.557
461.126	201.508
463.296	201.468
465.447	201.439
467.585	201.425
469.716	201.426
471.847	201.446
473.982	201.487
476.129	201.550
478.292	201.639
480.479	201.755
482.694	201.901
484.943	202.078
487.228	202.289
489.542	202.534
491.878	202.813
494.230	203.127
496.593	203.477
498.958	203.862
501.321	204.284
503.674	204.742
506.011	205.238
508.326	205.771
510.612	206.342
512.863	206.953
515.072	207.602
517.234	208.291
519.340	209.020
521.386	209.790
523.365	210.601
525.270	211.454
527.094	212.348
528.832	213.285
530.477	214.265
532.023	215.289
533.462	216.357
534.793	217.467
536.016	218.617
537.133	219.802
538.146	221.019
539.058	222.265
539.869	223.535
540.583	224.825
541.200	226.133
541.723	227.454
542.154	228.785
542.494	230.122
542.746	231.460
542.911	232.798
542.992	234.130
542.990	235.453
542.907	236.765
542.744	238.066
542.503	239.357
542.184	240.638
541.789	241.909
541.319	243.171
540.775	244.425
540.159	245.670
539.472	246.907
538.715	248.136
537.889	249.358
536.996	250.574
536.036	251.784
535.011	252.987
533.923	254.185
532.774	255.379
531.567	256.568
530.305	257.755
528.992	258.939
527.629	260.121
526.221	261.302
524.770	262.484
523.279	263.666
521.751	264.849
520.189	266.035
518.596	267.223
516.975	268.416
515.329	269.612
513.662	270.814
511.975	272.022
510.273	273.237
508.557	274.459
506.832	275.689
505.099	276.929
503.362	278.178
501.623	279.435
499.881	280.697
498.139	281.964
496.396	283.233
494.654	284.502
492.915	285.769
491.178	287.032
489.444	288.289
487.716	289.539
485.993	290.778
484.277	292.005
482.568	293.219
480.868	294.417
479.178	295.597
477.498	296.757
475.829	297.895
474.173	299.010
472.531	300.099
470.902	301.160
469.289	302.191
467.692	303.191
466.110	304.157
464.540	305.088
462.978	305.983
461.417	306.839
459.855	307.655
458.285	308.430
456.705	309.161
455.109	309.849
453.492	310.490
451.850	311.084
450.179	311.628
448.474	312.122
446.731	312.564
444.944	312.952
443.110	313.284
441.223	313.560
439.280	313.777
437.275	313.934
435.204	314.029
433.067	314.063
430.868	314.036
428.613	313.950
426.306	313.807
423.952	313.609
421.557	313.357
419.125	313.052
416.662	312.696
414.172	312.291
411.662	311.838
409.135	311.339
406.596	310.796
404.052	310.210
401.507	309.582
398.965	308.915
396.433	308.209
393.914	307.467
391.415	306.690
388.940	305.879
386.495	305.036
384.083	304.164
381.711	303.262
379.384	302.334
377.106	301.380
374.882	300.402
372.718	299.401
370.615	298.380
368.575	297.339
366.596	296.278
364.680	295.200
362.825	294.105
361.033	292.994
359.303	291.869
357.636	290.730
356.032	289.578
354.490	288.415
353.011	287.242
351.595	286.059
350.243	284.868
348.953	283.669
347.727	282.465
346.565	281.255
345.466	280.042
344.431	278.825
343.460	277.607
342.552	276.388
341.707	275.166
340.919	273.938
340.186	272.698
339.502	271.444
338.864	270.171
338.267	268.874
337.709	267.550
337.184	266.194
336.688	264.803
336.218	263.371
335.769	261.894
335.338	260.369
334.920	258.792
334.511	257.157
334.107	255.462
333.705	253.702
333.304	251.883
332.905	250.016
332.510	248.111
332.120	246.178
331.738	244.227
331.363	242.270
330.997	240.316
330.643	238.375
330.300	236.458
329.971	234.576
329.658	232.739
329.360	230.956
329.081	229.239
328.820	227.597
328.581	226.042
328.363	224.583
328.169	223.231
327.999	221.996
327.855	220.883
327.732	219.878
327.624	218.960
327.528	218.108
327.436	217.304
327.345	216.526
327.250	215.755
327.144	214.971
327.024	214.152
326.886	213.283
326.749	212.368
326.642	211.420
326.590	210.453
326.622	209.480
326.766	208.514
327.048	207.570
327.496	206.661
328.137	205.799
329.000	205.000
