X	Y
888.000	696.000
889.018	695.165
890.500	694.504
892.415	694.010
894.737	693.675
897.436	693.490
900.482	693.448
903.849	693.540
907.505	693.759
911.424	694.097
915.576	694.545
919.933	695.096
924.465	695.742
929.145	696.475
933.942	697.286
938.829	698.168
943.777	699.112
948.757	700.112
953.740	701.158
958.703	702.245
963.641	703.369
968.549	704.528
973.423	705.721
978.259	706.946
983.054	708.199
987.802	709.480
992.501	710.785
997.146	712.114
1001.733	713.463
1006.259	714.831
1010.718	716.216
1015.108	717.615
1019.424	719.027
1023.662	720.449
1027.818	721.879
1031.888	723.315
1035.869	724.756
1039.756	726.198
1043.544	727.640
1047.232	729.080
1050.813	730.516
1054.285	731.945
1057.649	733.370
1060.912	734.793
1064.079	736.218
1067.156	737.650
1070.149	739.090
1073.062	740.543
1075.903	742.013
1078.676	743.502
1081.388	745.015
1084.044	746.554
1086.650	748.124
1089.212	749.727
1091.735	751.368
1094.225	753.050
1096.688	754.776
1099.127	756.550
1101.536	758.372
1103.903	760.242
1106.217	762.159
1108.466	764.124
1110.640	766.135
1112.727	768.194
1114.716	770.299
1116.595	772.451
1118.353	774.648
1119.979	776.891
1121.462	779.180
1122.790	781.514
1123.952	783.893
1124.938	786.314
1125.746	788.770
1126.373	791.246
1126.819	793.733
1127.083	796.216
1127.162	798.686
1127.057	801.129
1126.765	803.535
1126.286	805.890
1125.619	808.184
1124.762	810.404
1123.713	812.538
1122.481	814.580
1121.088	816.532
1119.558	818.399
1117.916	820.185
1116.187	821.893
1114.394	823.527
1112.563	825.092
1110.719	826.591
1108.884	828.029
1107.085	829.409
1105.346	830.735
1103.688	832.010
1102.105	833.227
1100.582	834.373
1099.101	835.435
1097.647	836.401
1096.202	837.260
1094.750	837.998
1093.274	838.603
1091.758	839.062
1090.187	839.373
1088.555	839.554
1086.855	839.625
1085.082	839.610
1083.230	839.530
1081.292	839.407
1079.262	839.262
1077.135	839.118
1074.905	838.996
1072.570	838.912
1070.145	838.865
1067.650	838.848
1065.104	838.855
1062.524	838.879
1059.932	838.914
1057.344	838.954
1054.781	838.992
1052.261	839.023
1049.804	839.039
1047.427	839.035
1045.151	839.003
1042.989	838.941
1040.930	838.859
1038.956	838.770
1037.047	838.689
1035.186	838.630
1033.354	838.606
1031.533	838.633
1029.703	838.725
1027.846	838.895
1025.945	839.156
1023.996	839.504
1022.008	839.919
1019.992	840.379
1017.957	840.863
1015.914	841.350
1013.871	841.818
1011.839	842.248
1009.827	842.618
1007.847	842.906
1005.905	843.092
1003.999	843.173
1002.114	843.156
1000.235	843.050
998.345	842.864
996.431	842.607
994.476	842.288
992.465	841.915
990.384	841.498
988.216	841.046
985.951	840.564
983.597	840.052
981.170	839.501
978.686	838.908
976.160	838.266
973.609	837.568
971.049	836.809
968.494	835.982
965.960	835.083
963.464	834.104
961.021	833.041
958.648	831.886
956.358	830.634
954.162	829.280
952.054	827.821
950.029	826.254
948.080	824.576
946.201	822.784
944.388	820.876
942.633	818.849
940.931	816.698
939.276	814.423
937.662	812.020
936.083	809.485
934.533	806.817
933.006	804.012
931.498	801.071
930.005	798.007
928.526	794.840
927.059	791.586
925.602	788.263
924.154	784.889
922.712	781.483
921.276	778.061
919.842	774.641
918.410	771.242
916.978	767.880
915.544	764.575
914.106	761.342
912.662	758.201
911.211	755.170
909.751	752.265
908.280	749.504
906.797	746.904
905.309	744.467
903.825	742.189
902.355	740.067
900.909	738.096
899.495	736.273
898.124	734.596
896.805	733.059
895.548	731.659
894.362	730.393
893.256	729.258
892.241	728.246
891.328	727.330
890.530	726.470
889.859	725.629
889.328	724.767
888.950	723.845
888.726	722.835
888.635	721.738
888.649	720.557
888.741	719.296
888.885	717.960
889.054	716.554
889.223	715.083
889.373	713.560
889.483	711.995
889.532	710.401
889.502	708.789
889.371	707.170
889.119	705.556
888.732	703.960
888.262	702.400
887.802	700.901
887.450	699.487
887.302	698.183
887.453	697.012
888.000	696.000
