X	Y
23.297	17.319
23.324	17.284
23.356	17.250
23.391	17.217
23.431	17.185
23.474	17.153
23.520	17.122
23.570	17.091
23.623	17.060
23.680	17.031
23.739	17.001
23.801	16.972
23.866	16.943
23.933	16.915
24.003	16.887
24.074	16.859
24.148	16.832
24.223	16.804
24.300	16.777
24.379	16.750
24.459	16.722
24.540	16.695
24.623	16.668
24.706	16.641
24.790	16.614
24.875	16.586
24.960	16.559
25.045	16.531
25.130	16.503
25.216	16.475
25.301	16.446
25.386	16.417
25.470	16.388
25.554	16.359
25.637	16.329
25.720	16.298
25.803	16.267
25.885	16.236
25.967	16.204
26.048	16.172
26.129	16.140
26.210	16.107
26.290	16.073
26.371	16.039
26.451	16.005
26.531	15.970
26.611	15.935
26.690	15.899
26.770	15.863
26.849	15.826
26.929	15.788
27.008	15.751
27.088	15.712
27.167	15.673
27.247	15.634
27.326	15.594
27.406	15.553
27.486	15.512
27.566	15.470
27.646	15.428
27.727	15.385
27.808	15.341
27.889	15.297
27.970	15.253
28.052	15.207
28.134	15.161
28.216	15.115
28.299	15.067
28.382	15.019
28.466	14.971
28.551	14.922
28.635	14.872
28.721	14.821
28.806	14.770
28.892	14.718
28.979	14.666
29.066	14.614
29.153	14.561
29.241	14.507
29.329	14.453
29.417	14.399
29.506	14.345
29.595	14.290
29.684	14.235
29.774	14.179
29.864	14.124
29.954	14.068
30.044	14.012
30.134	13.957
30.225	13.901
30.315	13.845
30.406	13.789
30.497	13.733
30.588	13.677
30.679	13.621
30.770	13.566
30.862	13.510
30.953	13.455
31.044	13.400
31.135	13.345
31.226	13.290
31.318	13.236
31.409	13.182
31.500	13.129
31.590	13.076
31.681	13.023
31.772	12.971
31.862	12.920
31.953	12.869
32.043	12.818
32.133	12.768
32.222	12.719
32.312	12.671
32.401	12.623
32.490	12.576
32.578	12.530
32.666	12.484
32.754	12.439
32.842	12.395
32.929	12.352
33.016	12.309
33.103	12.267
33.189	12.226
33.275	12.186
33.361	12.147
33.446	12.108
33.531	12.070
33.615	12.033
33.699	11.996
33.783	11.960
33.866	11.926
33.948	11.891
34.031	11.858
34.112	11.825
34.194	11.793
34.275	11.762
34.355	11.732
34.435	11.702
34.515	11.674
34.594	11.646
34.672	11.618
34.750	11.592
34.827	11.566
34.904	11.541
34.980	11.517
35.056	11.494
35.131	11.471
35.206	11.449
35.280	11.428
35.354	11.408
35.426	11.388
35.499	11.370
35.570	11.352
35.641	11.335
35.712	11.319
35.781	11.304
35.850	11.290
35.918	11.278
35.985	11.266
36.051	11.256
36.116	11.248
36.180	11.241
36.243	11.236
36.305	11.232
36.366	11.230
36.426	11.230
36.484	11.232
36.541	11.236
36.597	11.242
36.652	11.251
36.705	11.261
36.756	11.274
36.807	11.289
36.855	11.307
36.903	11.327
36.948	11.351
36.992	11.376
37.034	11.405
37.075	11.436
37.114	11.470
37.151	11.507
37.186	11.546
37.220	11.587
37.252	11.630
37.282	11.676
37.311	11.724
37.338	11.773
37.363	11.824
37.387	11.878
37.409	11.932
37.429	11.989
37.447	12.046
37.464	12.106
37.479	12.166
37.492	12.227
37.504	12.290
37.514	12.353
37.522	12.418
37.529	12.483
37.533	12.548
37.536	12.614
37.538	12.681
37.537	12.748
37.536	12.816
37.532	12.884
37.527	12.953
37.520	13.022
37.512	13.091
37.503	13.162
37.492	13.232
37.480	13.304
37.466	13.376
37.452	13.448
37.436	13.521
37.419	13.595
37.400	13.669
37.381	13.744
37.361	13.820
37.339	13.896
37.317	13.973
37.294	14.051
37.269	14.129
37.244	14.208
37.219	14.288
37.192	14.369
37.165	14.450
37.137	14.532
37.108	14.615
37.079	14.698
37.050	14.783
37.019	14.868
36.989	14.954
36.958	15.041
36.926	15.129
36.894	15.218
36.862	15.307
36.830	15.397
36.797	15.488
36.764	15.580
36.730	15.672
36.697	15.764
36.663	15.857
36.628	15.951
36.594	16.045
36.559	16.139
36.524	16.233
36.489	16.328
36.454	16.422
36.418	16.517
36.382	16.611
36.346	16.706
36.310	16.800
36.273	16.894
36.236	16.988
36.200	17.082
36.163	17.175
36.125	17.268
36.088	17.360
36.051	17.452
36.013	17.543
35.975	17.634
35.938	17.724
35.900	17.812
35.862	17.901
35.824	17.988
35.785	18.074
35.747	18.159
35.709	18.243
35.670	18.326
35.632	18.408
35.593	18.488
35.555	18.568
35.516	18.645
35.477	18.722
35.439	18.796
35.400	18.870
35.362	18.941
35.323	19.011
35.284	19.080
35.246	19.147
35.207	19.212
35.168	19.275
35.130	19.337
35.091	19.397
35.052	19.456
35.014	19.513
34.975	19.568
34.936	19.621
34.898	19.672
34.859	19.722
34.820	19.770
34.781	19.816
34.742	19.861
34.704	19.903
34.665	19.944
34.626	19.983
34.587	20.020
34.548	20.055
34.509	20.088
34.470	20.119
34.431	20.148
34.392	20.176
34.353	20.201
34.314	20.225
34.274	20.246
34.235	20.266
34.194	20.284
34.154	20.300
34.112	20.315
34.070	20.328
34.026	20.339
33.982	20.348
33.936	20.356
33.889	20.363
33.841	20.368
33.791	20.372
33.740	20.374
33.687	20.375
33.631	20.375
33.574	20.373
33.515	20.370
33.453	20.366
33.389	20.361
33.323	20.355
33.254	20.347
33.183	20.339
33.110	20.330
33.035	20.320
32.958	20.309
32.879	20.297
32.798	20.284
32.715	20.270
32.631	20.256
32.545	20.241
32.457	20.225
32.369	20.208
32.278	20.191
32.187	20.174
32.095	20.155
32.001	20.137
31.906	20.118
31.811	20.098
31.715	20.078
31.618	20.058
31.520	20.037
31.422	20.016
31.323	19.995
31.224	19.974
31.125	19.952
31.026	19.930
30.926	19.908
30.826	19.887
30.727	19.865
30.627	19.843
30.528	19.821
30.429	19.799
30.330	19.777
30.232	19.756
30.135	19.735
30.038	19.713
29.942	19.693
29.847	19.672
29.752	19.652
29.659	19.632
29.566	19.612
29.474	19.593
29.383	19.575
29.294	19.556
29.205	19.538
29.116	19.521
29.029	19.503
28.943	19.487
28.857	19.470
28.773	19.454
28.689	19.439
28.607	19.424
28.525	19.410
28.444	19.396
28.364	19.382
28.285	19.369
28.207	19.357
28.129	19.345
28.053	19.333
27.977	19.323
27.903	19.312
27.829	19.303
27.756	19.294
27.685	19.285
27.614	19.277
27.544	19.270
27.474	19.263
27.406	19.257
27.339	19.252
27.272	19.247
27.207	19.243
27.142	19.239
27.079	19.237
27.016	19.234
26.954	19.233
26.892	19.232
26.832	19.231
26.772	19.231
26.712	19.231
26.654	19.231
26.595	19.231
26.537	19.232
26.480	19.232
26.422	19.233
26.365	19.233
26.308	19.233
26.252	19.233
26.195	19.232
26.139	19.231
26.082	19.230
26.025	19.228
25.968	19.226
25.911	19.222
25.854	19.219
25.797	19.214
25.739	19.208
25.681	19.202
25.622	19.195
25.563	19.186
25.503	19.177
25.444	19.167
25.384	19.156
25.324	19.145
25.264	19.133
25.204	19.120
25.144	19.107
25.084	19.093
25.024	19.079
24.964	19.065
24.905	19.051
24.846	19.036
24.787	19.021
24.729	19.006
24.672	18.991
24.615	18.976
24.558	18.961
24.503	18.946
24.448	18.931
24.394	18.917
24.341	18.903
24.289	18.890
24.237	18.876
24.187	18.864
24.138	18.852
24.090	18.840
24.043	18.829
23.997	18.819
23.952	18.809
23.908	18.801
23.864	18.793
23.822	18.786
23.781	18.780
23.740	18.774
23.700	18.770
23.661	18.767
23.623	18.765
23.586	18.764
23.550	18.764
23.514	18.765
23.479	18.768
23.445	18.772
23.411	18.777
23.379	18.781
23.348	18.786
23.319	18.790
23.292	18.793
23.266	18.794
23.243	18.792
23.223	18.788
23.205	18.781
23.190	18.770
23.178	18.754
23.169	18.735
23.163	18.712
23.159	18.685
23.157	18.656
23.157	18.625
23.158	18.592
23.161	18.557
23.166	18.521
23.171	18.484
23.176	18.447
23.182	18.410
23.188	18.373
23.193	18.338
23.199	18.303
23.204	18.269
23.209	18.236
23.213	18.203
23.217	18.170
23.220	18.138
23.223	18.105
23.225	18.073
23.226	18.041
23.227	18.008
23.227	17.975
23.227	17.942
23.225	17.908
23.223	17.873
23.220	17.837
23.217	17.801
23.213	17.764
23.210	17.727
23.208	17.690
23.207	17.652
23.207	17.614
23.209	17.576
23.213	17.538
23.219	17.501
23.228	17.464
23.240	17.427
23.255	17.390
23.274	17.354
23.297	17.319
