X	Y
22.971	18.225
22.992	18.210
23.017	18.198
23.045	18.188
23.076	18.181
23.110	18.175
23.147	18.172
23.187	18.170
23.230	18.171
23.276	18.173
23.324	18.177
23.375	18.183
23.428	18.191
23.484	18.200
23.541	18.211
23.601	18.224
23.664	18.238
23.728	18.254
23.794	18.271
23.862	18.290
23.932	18.310
24.003	18.331
24.077	18.353
24.151	18.377
24.227	18.402
24.305	18.428
24.383	18.455
24.463	18.483
24.544	18.511
24.626	18.541
24.709	18.572
24.792	18.603
24.877	18.635
24.962	18.668
25.047	18.701
25.134	18.735
25.220	18.769
25.307	18.804
25.394	18.839
25.481	18.875
25.568	18.911
25.656	18.947
25.743	18.984
25.830	19.021
25.916	19.057
26.002	19.094
26.088	19.131
26.173	19.168
26.258	19.204
26.342	19.241
26.425	19.277
26.507	19.313
26.588	19.349
26.668	19.385
26.747	19.420
26.825	19.454
26.902	19.488
26.977	19.522
27.050	19.555
27.122	19.587
27.193	19.619
27.262	19.650
27.330	19.680
27.396	19.711
27.462	19.740
27.526	19.769
27.588	19.798
27.650	19.826
27.711	19.854
27.770	19.881
27.829	19.908
27.886	19.934
27.943	19.960
27.998	19.986
28.053	20.012
28.107	20.037
28.160	20.061
28.212	20.086
28.264	20.110
28.315	20.134
28.366	20.158
28.415	20.182
28.465	20.205
28.514	20.228
28.562	20.251
28.610	20.274
28.658	20.297
28.705	20.320
28.752	20.343
28.799	20.365
28.845	20.388
28.891	20.410
28.938	20.433
28.984	20.455
29.030	20.478
29.076	20.501
29.122	20.523
29.168	20.546
29.215	20.569
29.261	20.592
29.308	20.615
29.355	20.638
29.402	20.662
29.450	20.685
29.498	20.709
29.546	20.733
29.595	20.757
29.644	20.782
29.693	20.806
29.743	20.831
29.793	20.856
29.843	20.882
29.893	20.907
29.944	20.933
29.994	20.959
30.045	20.985
30.096	21.012
30.148	21.039
30.199	21.066
30.250	21.093
30.302	21.120
30.353	21.148
30.405	21.176
30.457	21.204
30.508	21.232
30.560	21.261
30.612	21.290
30.663	21.319
30.715	21.349
30.766	21.378
30.818	21.408
30.869	21.438
30.920	21.469
30.971	21.500
31.022	21.531
31.072	21.562
31.122	21.593
31.173	21.625
31.222	21.657
31.272	21.690
31.321	21.722
31.370	21.755
31.419	21.788
31.467	21.822
31.515	21.855
31.563	21.889
31.610	21.924
31.657	21.958
31.703	21.993
31.749	22.028
31.795	22.064
31.840	22.100
