X	Y
44.510	35.157
44.640	34.959
44.809	34.773
45.015	34.598
45.253	34.433
45.523	34.277
45.819	34.128
46.140	33.984
46.481	33.845
46.841	33.709
47.216	33.575
47.602	33.442
47.997	33.307
48.398	33.170
48.802	33.030
49.204	32.885
49.604	32.734
49.997	32.575
50.381	32.408
50.755	32.233
51.122	32.051
51.482	31.863
51.835	31.670
52.182	31.473
52.525	31.273
52.863	31.071
53.198	30.868
53.531	30.665
53.861	30.462
54.191	30.261
54.521	30.063
54.852	29.869
55.183	29.679
55.518	29.494
55.855	29.316
56.196	29.146
56.542	28.984
56.892	28.831
57.247	28.685
57.606	28.547
57.968	28.414
58.333	28.286
58.700	28.163
59.069	28.042
59.438	27.922
59.807	27.804
60.176	27.686
60.544	27.566
60.911	27.445
61.275	27.320
61.637	27.191
61.995	27.057
62.350	26.917
62.700	26.770
63.044	26.615
63.383	26.451
63.717	26.280
64.046	26.102
64.371	25.920
64.691	25.736
65.008	25.550
65.322	25.364
65.634	25.179
65.944	24.999
66.252	24.823
66.558	24.653
66.865	24.492
67.171	24.340
67.477	24.200
67.784	24.072
68.092	23.959
68.402	23.861
68.714	23.780
69.026	23.716
69.338	23.667
69.648	23.633
69.954	23.612
70.256	23.605
70.553	23.609
70.842	23.624
71.123	23.650
71.394	23.685
71.654	23.728
71.902	23.779
72.136	23.837
72.356	23.900
72.560	23.970
72.747	24.048
72.919	24.135
73.073	24.235
73.211	24.348
73.332	24.477
73.434	24.623
73.519	24.788
73.586	24.973
73.635	25.180
73.667	25.406
73.682	25.651
73.683	25.914
73.669	26.194
73.641	26.489
73.600	26.799
73.548	27.123
73.484	27.460
73.409	27.808
73.325	28.167
73.232	28.536
73.132	28.914
73.024	29.300
72.909	29.693
72.788	30.091
72.660	30.496
72.526	30.904
72.386	31.317
72.239	31.733
72.086	32.150
71.926	32.570
71.760	32.990
71.588	33.411
71.410	33.830
71.225	34.248
71.035	34.664
70.838	35.077
70.636	35.485
70.427	35.890
70.212	36.289
69.991	36.681
69.765	37.067
69.532	37.446
69.294	37.816
69.050	38.177
68.801	38.527
68.548	38.868
68.290	39.196
68.029	39.513
67.766	39.816
67.500	40.106
67.233	40.382
66.964	40.642
66.695	40.886
66.426	41.113
66.158	41.323
65.892	41.515
65.627	41.688
65.364	41.841
65.105	41.973
64.849	42.084
64.597	42.173
64.348	42.242
64.100	42.292
63.852	42.324
63.603	42.340
63.350	42.341
63.093	42.330
62.830	42.307
62.559	42.275
62.279	42.234
61.989	42.187
61.687	42.134
61.371	42.078
61.042	42.020
60.699	41.960
60.344	41.897
59.979	41.833
59.605	41.767
59.222	41.699
58.833	41.630
58.438	41.560
58.039	41.489
57.637	41.417
57.233	41.344
56.829	41.270
56.426	41.196
56.024	41.122
55.626	41.047
55.233	40.973
54.845	40.898
54.465	40.824
54.093	40.751
53.729	40.677
53.372	40.605
53.023	40.533
52.680	40.461
52.343	40.390
52.012	40.319
51.684	40.249
51.361	40.179
51.041	40.109
50.724	40.040
50.408	39.971
50.095	39.903
49.781	39.835
49.469	39.767
49.155	39.700
48.841	39.633
48.526	39.566
48.212	39.500
47.901	39.435
47.595	39.371
47.294	39.307
47.001	39.245
46.717	39.184
46.443	39.125
46.182	39.068
45.934	39.013
45.702	38.959
45.487	38.908
45.290	38.859
45.113	38.812
44.957	38.762
44.821	38.705
44.706	38.637
44.612	38.554
44.541	38.450
44.491	38.322
44.461	38.171
44.449	38.005
44.450	37.832
44.460	37.661
44.477	37.500
44.495	37.358
44.512	37.242
44.524	37.155
44.529	37.082
44.523	37.006
44.506	36.910
44.476	36.781
44.439	36.623
44.402	36.441
44.370	36.242
44.350	36.029
44.348	35.809
44.370	35.587
44.422	35.367
44.510	35.157
