X	Y
45.297	38.543
45.397	38.375
45.547	38.195
45.744	38.006
45.981	37.810
46.254	37.611
46.559	37.410
46.889	37.212
47.241	37.019
47.610	36.833
47.990	36.657
48.378	36.494
48.767	36.348
49.153	36.220
49.532	36.113
49.900	36.030
50.256	35.970
50.604	35.931
50.943	35.912
51.275	35.912
51.601	35.929
51.922	35.963
52.240	36.012
52.556	36.075
52.871	36.150
53.185	36.237
53.501	36.333
53.820	36.439
54.142	36.552
54.467	36.673
54.795	36.803
55.125	36.941
55.455	37.089
55.787	37.247
56.119	37.416
56.450	37.595
56.779	37.786
57.107	37.989
57.432	38.204
57.754	38.432
58.072	38.674
58.386	38.930
58.695	39.200
58.998	39.485
59.294	39.784
59.584	40.095
59.866	40.418
60.140	40.751
60.405	41.094
60.662	41.444
60.909	41.801
61.145	42.164
61.371	42.531
61.585	42.901
61.787	43.274
61.977	43.648
62.154	44.021
62.317	44.393
62.466	44.763
62.600	45.129
62.720	45.491
62.825	45.848
62.916	46.200
62.994	46.546
63.059	46.887
63.113	47.222
63.154	47.552
63.185	47.875
63.206	48.191
63.216	48.500
63.218	48.803
63.210	49.098
63.195	49.385
63.172	49.664
63.140	49.937
63.098	50.203
63.046	50.464
62.983	50.720
62.908	50.973
62.820	51.222
62.718	51.469
62.602	51.714
62.469	51.958
62.321	52.202
62.156	52.446
61.974	52.691
61.777	52.934
61.565	53.177
61.338	53.419
61.098	53.659
60.844	53.898
60.577	54.134
60.297	54.369
60.006	54.600
59.704	54.828
59.391	55.053
59.067	55.274
58.734	55.491
58.392	55.703
58.044	55.909
57.689	56.108
57.330	56.299
56.969	56.481
56.605	56.653
56.241	56.815
55.878	56.964
55.518	57.101
55.161	57.224
54.810	57.332
54.465	57.424
54.128	57.499
53.800	57.557
53.482	57.596
53.176	57.616
52.880	57.620
52.593	57.610
52.315	57.586
52.047	57.551
51.786	57.506
51.533	57.453
51.287	57.393
51.048	57.329
50.815	57.261
50.587	57.191
50.364	57.118
50.146	57.036
49.931	56.944
49.720	56.838
49.512	56.714
49.306	56.569
49.101	56.399
48.897	56.202
48.694	55.974
48.491	55.712
48.289	55.418
48.088	55.096
47.890	54.748
47.696	54.378
47.505	53.988
47.319	53.582
47.140	53.164
46.967	52.735
46.802	52.300
46.646	51.861
46.499	51.421
46.362	50.984
46.237	50.553
46.124	50.131
46.023	49.721
45.937	49.325
45.865	48.948
45.805	48.586
45.758	48.240
45.721	47.908
45.693	47.588
45.672	47.279
45.657	46.980
45.646	46.689
45.639	46.405
45.634	46.127
45.628	45.852
45.622	45.580
45.613	45.310
45.601	45.041
45.585	44.773
45.566	44.506
45.543	44.241
45.515	43.978
45.484	43.718
45.447	43.459
45.406	43.204
45.360	42.951
45.309	42.702
45.253	42.456
45.196	42.214
45.139	41.976
45.087	41.743
45.042	41.514
45.006	41.290
44.985	41.071
44.979	40.858
44.993	40.651
45.027	40.450
45.078	40.255
45.137	40.068
45.197	39.888
45.252	39.716
45.293	39.553
45.315	39.399
45.311	39.254
45.287	39.115
45.259	38.980
45.241	38.842
45.249	38.698
45.297	38.543
