X	Y
22.018	12.456
22.051	12.411
22.094	12.367
22.146	12.324
22.207	12.282
22.276	12.241
22.353	12.201
22.436	12.161
22.525	12.122
22.620	12.084
22.719	12.046
22.823	12.009
22.931	11.971
23.042	11.934
23.155	11.897
23.270	11.860
23.386	11.823
23.503	11.786
23.620	11.749
23.737	11.711
23.854	11.673
23.972	11.635
24.089	11.597
24.207	11.558
24.325	11.520
24.443	11.481
24.562	11.443
24.680	11.404
24.799	11.366
24.918	11.327
25.037	11.288
25.156	11.250
25.275	11.211
25.395	11.173
25.514	11.135
25.634	11.096
25.754	11.058
25.874	11.021
25.995	10.983
26.115	10.946
26.236	10.909
26.356	10.872
26.477	10.836
26.597	10.800
26.717	10.766
26.837	10.732
26.956	10.700
27.074	10.669
27.192	10.639
27.309	10.610
27.425	10.584
27.540	10.559
27.654	10.536
27.767	10.515
27.879	10.496
27.989	10.479
28.097	10.465
28.204	10.454
28.309	10.445
28.413	10.439
28.514	10.436
28.613	10.436
28.711	10.438
28.806	10.444
28.900	10.451
28.991	10.462
29.080	10.474
29.167	10.489
29.252	10.506
29.334	10.525
29.414	10.546
29.492	10.569
29.568	10.594
29.641	10.620
29.712	10.648
29.780	10.677
29.846	10.707
29.910	10.740
29.970	10.775
30.028	10.812
30.083	10.852
30.134	10.895
30.183	10.941
30.228	10.992
30.270	11.046
30.308	11.104
30.343	11.168
30.374	11.236
30.401	11.308
30.424	11.385
30.443	11.466
30.458	11.549
30.469	11.636
30.475	11.725
30.477	11.816
30.475	11.908
30.469	12.001
30.457	12.094
30.441	12.187
30.421	12.280
30.395	12.372
30.365	12.462
30.330	12.551
30.290	12.637
30.246	12.721
30.198	12.802
30.147	12.880
30.093	12.955
30.037	13.027
29.980	13.095
29.921	13.160
29.861	13.221
29.802	13.277
29.742	13.330
29.684	13.377
29.627	13.420
29.572	13.458
29.519	13.491
29.468	13.519
29.418	13.542
29.369	13.561
29.320	13.575
29.270	13.586
29.219	13.593
29.166	13.597
29.110	13.597
29.052	13.595
28.990	13.590
28.925	13.583
28.858	13.574
28.789	13.564
28.720	13.552
28.650	13.539
28.580	13.525
28.510	13.511
28.442	13.497
28.376	13.483
28.313	13.470
28.252	13.457
28.194	13.445
28.138	13.434
28.083	13.424
28.029	13.415
27.976	13.406
27.921	13.398
27.865	13.391
27.807	13.385
27.746	13.379
27.681	13.374
27.613	13.370
27.541	13.366
27.466	13.363
27.386	13.361
27.303	13.359
27.217	13.358
27.127	13.357
27.033	13.357
26.936	13.357
26.835	13.359
26.731	13.360
26.624	13.363
26.513	13.366
26.399	13.369
26.281	13.373
26.160	13.378
26.037	13.383
25.910	13.389
25.781	13.395
25.650	13.402
25.518	13.408
25.385	13.415
25.251	13.422
25.117	13.428
24.983	13.435
24.850	13.441
24.718	13.447
24.587	13.452
24.459	13.457
24.333	13.461
24.209	13.465
24.089	13.468
23.972	13.470
23.860	13.470
23.752	13.470
23.648	13.469
23.550	13.466
23.458	13.463
23.372	13.457
23.290	13.451
23.213	13.443
23.139	13.435
23.068	13.425
23.000	13.414
22.933	13.403
22.867	13.391
22.802	13.378
22.736	13.364
22.670	13.351
22.602	13.336
22.532	13.322
22.460	13.306
22.389	13.291
22.318	13.274
22.251	13.256
22.187	13.236
22.128	13.215
22.076	13.193
22.032	13.168
21.996	13.140
21.971	13.110
21.957	13.078
21.951	13.043
21.952	13.005
21.957	12.966
21.964	12.924
21.971	12.881
21.974	12.836
21.974	12.789
21.972	12.742
21.970	12.694
21.969	12.646
21.972	12.598
21.980	12.550
21.994	12.503
22.018	12.456
