X	Y
22.105	13.114
22.148	13.094
22.203	13.076
22.269	13.059
22.344	13.044
22.429	13.030
22.522	13.018
22.622	13.007
22.729	12.999
22.843	12.992
22.962	12.986
23.085	12.983
23.212	12.982
23.341	12.982
23.473	12.985
23.606	12.989
23.740	12.996
23.873	13.004
24.006	13.015
24.136	13.028
24.264	13.043
24.390	13.060
24.514	13.079
24.635	13.100
24.754	13.122
24.871	13.146
24.986	13.171
25.099	13.197
25.211	13.225
25.321	13.253
25.430	13.282
25.537	13.311
25.642	13.341
25.747	13.372
25.850	13.402
25.953	13.432
26.054	13.463
26.155	13.493
26.255	13.522
26.354	13.551
26.453	13.579
26.551	13.607
26.649	13.634
26.747	13.661
26.844	13.687
26.941	13.713
27.037	13.739
27.133	13.764
27.229	13.790
27.325	13.816
27.421	13.843
27.517	13.869
27.612	13.896
27.708	13.924
27.804	13.952
27.899	13.981
27.995	14.011
28.091	14.042
28.187	14.074
28.283	14.107
28.377	14.141
28.469	14.177
28.560	14.214
28.647	14.253
28.731	14.293
28.811	14.336
28.887	14.380
28.957	14.426
29.021	14.474
29.079	14.525
29.130	14.578
29.174	14.633
29.209	14.691
29.236	14.751
29.255	14.814
29.265	14.879
29.267	14.946
29.262	15.014
29.249	15.084
29.229	15.156
29.202	15.228
29.168	15.300
29.128	15.374
29.082	15.447
29.030	15.520
28.972	15.593
28.910	15.666
28.842	15.738
28.769	15.809
28.693	15.879
28.612	15.949
28.528	16.018
28.441	16.086
28.351	16.152
28.259	16.218
28.164	16.283
28.068	16.346
27.970	16.408
27.872	16.469
27.772	16.528
27.673	16.586
27.573	16.642
27.474	16.696
27.376	16.748
27.279	16.799
27.183	16.848
27.089	16.895
26.996	16.941
26.904	16.985
26.813	17.027
26.724	17.068
26.635	17.108
26.547	17.146
26.461	17.184
26.375	17.220
26.289	17.256
26.204	17.291
26.120	17.325
26.036	17.359
25.952	17.392
25.869	17.425
25.786	17.458
25.703	17.490
25.620	17.522
25.536	17.554
25.452	17.584
25.367	17.614
25.282	17.642
25.196	17.669
25.108	17.694
25.019	17.717
24.928	17.739
24.836	17.757
24.742	17.773
24.646	17.786
24.547	17.797
24.446	17.803
24.342	17.807
24.236	17.806
24.127	17.802
24.015	17.795
23.903	17.783
23.790	17.769
23.676	17.752
23.563	17.731
23.451	17.708
23.340	17.682
23.231	17.654
23.125	17.623
23.022	17.591
22.923	17.556
22.829	17.519
22.739	17.481
22.655	17.441
22.577	17.400
22.506	17.358
22.442	17.314
22.385	17.270
22.336	17.224
22.292	17.177
22.253	17.128
22.219	17.078
22.189	17.025
22.161	16.969
22.136	16.911
22.112	16.851
22.088	16.787
22.064	16.719
22.040	16.648
22.014	16.574
21.988	16.497
21.961	16.417
21.935	16.335
21.908	16.250
21.882	16.164
21.856	16.077
21.832	15.988
21.808	15.899
21.786	15.809
21.766	15.719
21.748	15.629
21.732	15.540
21.718	15.451
21.707	15.364
21.699	15.278
21.693	15.193
21.689	15.110
21.688	15.028
21.688	14.948
21.689	14.869
21.691	14.792
21.694	14.716
21.698	14.642
21.701	14.570
21.705	14.498
21.708	14.429
21.710	14.361
21.711	14.295
21.712	14.231
21.712	14.168
21.713	14.107
21.714	14.048
21.717	13.992
21.721	13.937
21.728	13.885
21.737	13.835
21.749	13.788
21.765	13.743
21.785	13.700
21.806	13.659
21.830	13.620
21.854	13.583
21.879	13.546
21.902	13.510
21.925	13.474
21.944	13.438
21.962	13.402
21.977	13.367
21.990	13.333
22.002	13.299
22.011	13.267
22.020	13.237
22.028	13.209
22.038	13.183
22.052	13.158
22.074	13.135
22.105	13.114
