X	Y
351.500	120.000
351.741	119.081
352.147	118.183
352.712	117.303
353.429	116.437
354.291	115.582
355.292	114.734
356.423	113.890
357.679	113.047
359.052	112.200
360.536	111.346
362.123	110.482
363.808	109.604
365.582	108.709
367.439	107.796
369.377	106.865
371.389	105.920
373.473	104.962
375.623	103.992
377.835	103.013
380.105	102.027
382.429	101.036
384.802	100.042
387.221	99.046
389.680	98.051
392.175	97.059
394.703	96.071
397.259	95.090
399.838	94.117
402.437	93.154
405.050	92.205
407.674	91.269
410.305	90.350
412.938	89.448
415.568	88.568
418.192	87.709
420.805	86.874
423.403	86.066
425.985	85.283
428.551	84.525
431.103	83.790
433.642	83.075
436.169	82.380
438.684	81.702
441.190	81.040
443.686	80.391
446.175	79.756
448.657	79.130
451.133	78.514
453.605	77.905
456.073	77.301
458.539	76.701
461.003	76.103
463.467	75.505
465.932	74.905
468.399	74.303
470.869	73.696
473.343	73.082
475.822	72.459
478.307	71.827
480.799	71.183
483.300	70.526
485.809	69.856
488.324	69.175
490.846	68.485
493.373	67.788
495.903	67.086
498.437	66.380
500.973	65.672
503.510	64.964
506.047	64.258
508.583	63.556
511.117	62.860
513.649	62.171
516.176	61.490
518.699	60.821
521.216	60.165
523.726	59.523
526.229	58.898
528.723	58.291
531.206	57.704
533.680	57.138
536.141	56.597
538.590	56.081
541.025	55.592
543.446	55.133
545.852	54.704
548.243	54.307
550.620	53.944
552.982	53.616
555.331	53.325
557.666	53.072
559.986	52.859
562.293	52.687
564.587	52.558
566.867	52.473
569.135	52.434
571.389	52.441
573.630	52.498
575.859	52.605
578.075	52.763
580.278	52.975
582.470	53.241
584.649	53.563
586.817	53.943
588.972	54.383
591.116	54.883
593.242	55.443
595.344	56.063
597.415	56.742
599.446	57.478
601.431	58.272
603.362	59.122
605.232	60.027
607.034	60.987
608.760	62.001
610.404	63.068
611.957	64.186
613.412	65.356
614.763	66.577
616.001	67.847
617.120	69.165
618.112	70.532
618.970	71.946
619.689	73.405
620.272	74.908
620.728	76.450
621.062	78.028
621.281	79.640
621.394	81.281
621.406	82.948
621.324	84.638
621.156	86.348
620.908	88.074
620.588	89.814
620.201	91.562
619.756	93.317
619.259	95.075
618.717	96.833
618.136	98.586
617.521	100.335
616.873	102.078
616.193	103.816
615.484	105.548
614.746	107.274
613.982	108.993
613.192	110.706
612.379	112.412
611.544	114.111
610.688	115.803
609.813	117.487
608.920	119.164
608.012	120.833
607.089	122.493
606.154	124.146
605.207	125.789
604.250	127.424
603.285	129.049
602.309	130.660
601.321	132.254
600.319	133.828
599.302	135.378
598.269	136.900
597.219	138.391
596.148	139.848
595.057	141.267
593.943	142.644
592.805	143.976
591.642	145.260
590.452	146.492
589.234	147.668
587.985	148.785
586.705	149.839
585.392	150.828
584.045	151.750
582.663	152.604
581.243	153.392
579.786	154.111
578.289	154.763
576.751	155.346
575.171	155.861
573.548	156.307
571.880	156.683
570.167	156.991
568.406	157.229
566.596	157.397
564.737	157.494
562.826	157.522
560.863	157.478
558.849	157.366
556.787	157.190
554.682	156.957
552.537	156.672
550.358	156.340
548.149	155.967
545.913	155.559
543.656	155.122
541.381	154.660
539.094	154.181
536.797	153.690
534.496	153.191
532.195	152.692
529.898	152.197
527.609	151.712
525.333	151.243
523.074	150.795
520.837	150.375
518.625	149.988
516.443	149.639
514.296	149.334
512.181	149.075
510.096	148.858
508.036	148.682
505.995	148.545
503.970	148.444
501.956	148.378
499.948	148.342
497.942	148.336
495.933	148.358
493.917	148.404
491.889	148.472
489.845	148.561
487.780	148.668
485.690	148.791
483.569	148.927
481.414	149.074
479.220	149.229
476.982	149.392
474.696	149.559
472.361	149.728
469.979	149.898
467.554	150.068
465.090	150.236
462.590	150.402
460.058	150.565
457.497	150.722
454.911	150.873
452.303	151.016
449.676	151.151
447.035	151.275
444.383	151.388
441.722	151.489
439.058	151.577
436.393	151.649
433.731	151.705
431.075	151.744
428.429	151.764
425.797	151.764
423.181	151.743
420.585	151.700
418.014	151.634
415.470	151.542
412.957	151.425
410.477	151.281
408.032	151.113
405.624	150.922
403.254	150.707
400.924	150.471
398.635	150.214
396.390	149.938
394.189	149.643
392.035	149.330
389.929	149.002
387.872	148.657
385.867	148.299
383.915	147.927
382.017	147.543
380.176	147.147
378.392	146.742
376.669	146.327
375.006	145.904
373.406	145.474
371.870	145.038
370.396	144.595
368.983	144.144
367.627	143.684
366.328	143.214
365.083	142.734
363.891	142.243
362.749	141.740
361.654	141.223
360.607	140.693
359.603	140.147
358.642	139.586
357.722	139.008
356.850	138.414
356.036	137.801
355.290	137.170
354.622	136.520
354.040	135.851
353.555	135.162
353.177	134.453
352.916	133.723
352.767	132.977
352.711	132.231
352.727	131.499
352.794	130.797
352.890	130.138
352.993	129.538
353.084	129.006
353.144	128.514
353.158	128.027
353.108	127.508
352.978	126.919
352.764	126.238
352.492	125.473
352.196	124.641
351.909	123.756
351.663	122.834
351.491	121.890
351.425	120.941
351.500	120.000
