X	Y
352.500	138.500
353.622	137.955
355.063	137.492
356.806	137.108
358.835	136.800
361.133	136.566
363.685	136.401
366.473	136.303
369.481	136.269
372.692	136.297
376.091	136.382
379.660	136.522
383.383	136.714
387.244	136.956
391.226	137.243
395.313	137.573
399.488	137.943
403.734	138.350
408.036	138.790
412.376	139.262
416.739	139.761
421.107	140.285
425.465	140.832
429.795	141.396
434.082	141.977
438.309	142.571
442.459	143.174
446.516	143.784
450.463	144.398
454.284	145.012
457.962	145.624
461.482	146.231
464.827	146.830
467.994	147.418
470.994	147.996
473.837	148.562
476.531	149.116
479.088	149.656
481.516	150.183
483.826	150.695
486.027	151.191
488.130	151.671
490.144	152.134
492.079	152.580
493.945	153.006
495.752	153.413
497.509	153.801
499.227	154.167
500.916	154.511
502.584	154.833
504.243	155.132
505.901	155.407
507.569	155.657
509.252	155.884
510.951	156.091
512.667	156.281
514.404	156.456
516.162	156.619
517.943	156.774
519.749	156.923
521.583	157.070
523.445	157.216
525.337	157.366
527.261	157.522
529.220	157.686
531.214	157.863
533.246	158.054
535.317	158.263
537.429	158.492
539.582	158.745
541.767	159.025
543.974	159.336
546.192	159.682
548.409	160.066
550.615	160.492
552.799	160.964
554.951	161.485
557.058	162.059
559.111	162.691
561.099	163.383
563.010	164.139
564.834	164.964
566.560	165.860
568.177	166.832
569.674	167.882
571.041	169.016
572.266	170.237
573.339	171.547
574.263	172.940
575.040	174.406
575.675	175.936
576.175	177.520
576.543	179.149
576.785	180.811
576.904	182.498
576.907	184.199
576.797	185.905
576.580	187.606
576.261	189.292
575.844	190.954
575.334	192.581
574.737	194.163
574.056	195.695
573.298	197.171
572.466	198.590
571.568	199.948
570.607	201.240
569.589	202.465
568.519	203.619
567.402	204.698
566.243	205.699
565.049	206.620
563.822	207.456
562.570	208.204
561.297	208.861
560.008	209.426
558.706	209.911
557.394	210.337
556.074	210.722
554.749	211.088
553.422	211.453
552.094	211.839
550.768	212.264
549.448	212.749
548.134	213.313
546.830	213.978
545.539	214.761
544.262	215.684
543.003	216.757
541.761	217.967
540.540	219.300
539.339	220.740
538.161	222.273
537.007	223.884
535.879	225.556
534.776	227.276
533.702	229.029
532.658	230.798
531.644	232.569
530.662	234.328
529.713	236.058
528.800	237.745
527.923	239.374
527.083	240.929
526.282	242.397
525.518	243.768
524.781	245.050
524.063	246.249
523.352	247.374
522.640	248.430
521.916	249.427
521.171	250.371
520.395	251.269
519.579	252.129
518.712	252.959
517.785	253.766
516.790	254.556
515.723	255.331
514.587	256.088
513.384	256.825
512.116	257.538
510.785	258.225
509.394	258.883
507.944	259.511
506.438	260.104
504.877	260.661
503.264	261.179
501.600	261.656
499.889	262.088
498.132	262.473
496.330	262.810
494.486	263.097
492.601	263.335
490.676	263.525
488.712	263.668
486.712	263.764
484.675	263.813
482.605	263.816
480.501	263.775
478.365	263.688
476.200	263.557
474.005	263.383
471.783	263.166
469.534	262.906
467.260	262.604
464.963	262.261
462.644	261.877
460.303	261.452
457.944	260.988
455.566	260.486
453.172	259.945
450.765	259.369
448.346	258.759
445.918	258.116
443.482	257.443
441.042	256.741
438.600	256.011
436.157	255.256
433.716	254.477
431.278	253.675
428.847	252.853
426.425	252.012
424.013	251.154
421.615	250.280
419.231	249.392
416.865	248.492
414.518	247.581
412.193	246.662
409.892	245.735
407.617	244.803
405.371	243.867
403.156	242.929
400.971	241.989
398.818	241.047
396.695	240.102
394.603	239.154
392.540	238.203
390.507	237.247
388.503	236.287
386.528	235.322
384.581	234.352
382.663	233.376
380.772	232.393
378.909	231.404
377.073	230.407
375.263	229.403
373.480	228.391
371.723	227.369
369.991	226.339
368.285	225.300
366.603	224.250
364.948	223.189
363.323	222.114
361.734	221.021
360.184	219.908
358.679	218.770
357.223	217.605
355.820	216.410
354.477	215.181
353.197	213.916
351.984	212.610
350.845	211.261
349.782	209.865
348.802	208.420
347.908	206.922
347.106	205.367
346.400	203.753
345.792	202.079
345.277	200.349
344.849	198.569
344.501	196.745
344.229	194.882
344.024	192.985
343.882	191.062
343.796	189.117
343.760	187.155
343.768	185.184
343.813	183.207
343.890	181.231
343.992	179.262
344.114	177.305
344.249	175.366
344.390	173.450
344.533	171.563
344.673	169.710
344.813	167.896
344.957	166.124
345.107	164.397
345.267	162.721
345.440	161.098
345.630	159.533
345.840	158.029
346.072	156.590
346.331	155.221
346.619	153.925
346.939	152.705
347.296	151.567
347.692	150.512
348.120	149.538
348.562	148.630
349.001	147.775
349.420	146.960
349.799	146.170
350.122	145.392
350.371	144.612
350.527	143.817
350.597	143.002
350.635	142.179
350.704	141.366
350.864	140.575
351.176	139.824
351.701	139.127
352.500	138.500
