X	Y
333.333	232.667
333.661	231.087
334.126	229.283
334.702	227.294
335.363	225.155
336.082	222.904
336.832	220.578
337.587	218.212
338.320	215.845
339.005	213.512
339.616	211.252
340.126	209.100
340.531	207.075
340.868	205.161
341.179	203.340
341.504	201.591
341.885	199.897
342.364	198.239
342.982	196.596
343.780	194.950
344.799	193.282
346.053	191.582
347.523	189.850
349.191	188.088
351.035	186.296
353.037	184.476
355.176	182.629
357.432	180.755
359.785	178.855
362.216	176.931
364.705	174.984
367.231	173.015
369.775	171.024
372.317	169.013
374.840	166.983
377.343	164.937
379.827	162.875
382.294	160.801
384.745	158.716
387.182	156.624
389.606	154.525
392.020	152.423
394.425	150.319
396.822	148.216
399.214	146.116
401.601	144.021
403.985	141.933
406.369	139.855
408.753	137.788
411.139	135.736
413.527	133.699
415.914	131.681
418.299	129.683
420.680	127.708
423.055	125.757
425.420	123.833
427.776	121.938
430.119	120.073
432.447	118.242
434.759	116.447
437.053	114.688
439.326	112.969
441.576	111.292
443.802	109.658
446.004	108.069
448.188	106.523
450.361	105.017
452.530	103.549
454.701	102.117
456.882	100.718
459.080	99.351
461.301	98.012
463.551	96.700
465.839	95.412
468.171	94.146
470.553	92.900
472.992	91.672
475.486	90.463
478.024	89.280
480.597	88.129
483.193	87.017
485.801	85.949
488.413	84.932
491.016	83.972
493.601	83.075
496.158	82.248
498.674	81.496
501.141	80.826
503.548	80.244
505.884	79.756
508.148	79.361
510.349	79.051
512.493	78.819
514.589	78.656
516.645	78.556
518.667	78.510
520.665	78.510
522.645	78.549
524.616	78.619
526.584	78.713
528.542	78.837
530.464	79.014
532.325	79.266
534.098	79.617
535.758	80.090
537.279	80.706
538.635	81.491
539.800	82.465
540.758	83.640
541.522	84.987
542.107	86.473
542.533	88.064
542.814	89.727
542.969	91.427
543.014	93.132
542.967	94.808
542.855	96.440
542.718	98.031
542.596	99.583
542.527	101.101
542.553	102.587
542.712	104.046
543.043	105.481
543.575	106.892
544.294	108.270
545.183	109.607
546.221	110.893
547.390	112.116
548.671	113.268
550.045	114.339
551.493	115.318
552.977	116.211
554.428	117.041
555.778	117.836
556.955	118.622
557.890	119.427
558.512	120.276
558.754	121.196
558.600	122.181
558.079	123.202
557.218	124.228
556.048	125.228
554.597	126.171
552.894	127.029
550.976	127.799
548.888	128.511
546.676	129.199
544.387	129.895
542.065	130.632
539.758	131.442
537.511	132.359
535.370	133.415
533.380	134.642
531.589	136.073
530.040	137.740
528.760	139.626
527.749	141.658
527.008	143.757
526.536	145.848
526.333	147.853
526.398	149.693
526.732	151.293
527.333	152.574
528.195	153.467
529.200	154.021
530.141	154.382
530.807	154.701
530.990	155.126
530.596	155.754
529.759	156.577
528.635	157.578
527.382	158.739
526.156	160.042
525.117	161.470
524.417	163.003
524.114	164.617
524.150	166.281
524.457	167.961
524.970	169.624
525.622	171.239
526.348	172.771
527.080	174.190
527.759	175.463
528.385	176.589
529.006	177.586
529.669	178.472
530.422	179.266
531.312	179.985
532.356	180.650
533.451	181.294
534.455	181.952
535.231	182.660
535.639	183.454
535.559	184.364
535.042	185.394
534.225	186.531
533.245	187.761
532.240	189.071
531.347	190.448
530.704	191.879
530.425	193.352
530.500	194.851
530.879	196.364
531.513	197.877
532.353	199.377
533.349	200.849
534.453	202.281
535.615	203.658
536.791	204.977
537.944	206.252
539.043	207.499
540.052	208.736
540.937	209.979
541.665	211.245
542.202	212.550
542.515	213.909
542.593	215.305
542.434	216.699
542.040	218.053
541.412	219.330
540.550	220.492
539.454	221.500
538.141	222.339
536.660	223.044
535.067	223.657
533.419	224.223
531.770	224.784
530.177	225.383
528.695	226.063
527.379	226.866
526.264	227.819
525.338	228.909
524.582	230.122
523.980	231.442
523.515	232.852
523.169	234.338
522.924	235.883
522.754	237.469
522.619	239.068
522.475	240.655
522.282	242.204
521.997	243.688
521.579	245.082
520.986	246.357
520.190	247.491
519.210	248.462
518.080	249.252
516.833	249.841
515.499	250.212
514.113	250.344
512.704	250.222
511.276	249.861
509.818	249.295
508.317	248.559
506.761	247.687
505.138	246.713
503.436	245.672
501.642	244.599
499.745	243.527
497.738	242.486
495.629	241.483
493.432	240.526
491.156	239.619
488.814	238.769
486.417	237.982
483.977	237.264
481.505	236.621
479.013	236.059
476.512	235.584
474.014	235.202
471.531	234.920
469.070	234.738
466.632	234.652
464.219	234.658
461.830	234.750
459.468	234.922
457.133	235.170
454.826	235.488
452.547	235.872
450.298	236.315
448.080	236.813
445.893	237.361
443.737	237.953
441.604	238.583
439.488	239.243
437.380	239.927
435.273	240.627
433.158	241.338
431.028	242.052
428.875	242.761
426.691	243.460
424.468	244.142
422.199	244.799
419.879	245.427
417.512	246.031
415.104	246.615
412.659	247.182
410.184	247.737
407.682	248.284
405.159	248.829
402.621	249.374
400.071	249.924
397.517	250.483
394.961	251.057
392.411	251.648
389.870	252.260
387.340	252.883
384.824	253.507
382.322	254.121
379.837	254.713
377.370	255.273
374.923	255.789
372.497	256.251
370.094	256.647
367.715	256.967
365.362	257.199
363.037	257.332
360.743	257.359
358.485	257.288
356.270	257.132
354.105	256.901
351.999	256.609
349.957	256.267
347.987	255.887
346.095	255.482
344.290	255.064
342.578	254.644
340.970	254.227
339.491	253.789
338.172	253.298
337.039	252.724
336.122	252.039
335.448	251.210
335.040	250.213
334.858	249.062
334.833	247.792
334.897	246.437
334.981	245.031
335.017	243.609
334.939	242.205
334.741	240.864
334.466	239.640
334.155	238.588
