X	Y
1056.000	636.000
1057.657	634.724
1060.066	633.747
1063.178	633.044
1066.943	632.590
1071.311	632.359
1076.233	632.327
1081.658	632.467
1087.537	632.755
1093.820	633.166
1100.457	633.673
1107.399	634.253
1114.595	634.879
1121.997	635.526
1129.553	636.169
1137.215	636.784
1144.933	637.343
1152.656	637.823
1160.337	638.199
1167.946	638.469
1175.472	638.649
1182.901	638.757
1190.224	638.809
1197.428	638.823
1204.501	638.814
1211.432	638.800
1218.209	638.798
1224.820	638.825
1231.255	638.897
1237.500	639.032
1243.545	639.247
1249.377	639.558
1254.986	639.982
1260.359	640.536
1265.484	641.238
1270.351	642.103
1274.947	643.150
1279.260	644.394
1283.295	645.842
1287.076	647.481
1290.633	649.297
1293.996	651.277
1297.192	653.407
1300.251	655.671
1303.201	658.057
1306.073	660.550
1308.894	663.136
1311.693	665.802
1314.500	668.532
1317.342	671.314
1320.212	674.137
1323.065	676.994
1325.853	679.881
1328.529	682.790
1331.048	685.716
1333.361	688.653
1335.422	691.594
1337.183	694.534
1338.598	697.468
1339.620	700.387
1340.204	703.288
1340.394	706.154
1340.334	708.961
1340.172	711.686
1340.058	714.303
1340.142	716.786
1340.573	719.113
1341.500	721.257
1343.060	723.197
1345.216	724.958
1347.808	726.593
1350.672	728.161
1353.648	729.718
1356.571	731.318
1359.279	733.020
1361.609	734.880
1363.400	736.953
1364.495	739.293
1364.904	741.898
1364.781	744.715
1364.286	747.688
1363.580	750.763
1362.822	753.883
1362.173	756.995
1361.794	760.043
1361.844	762.972
1362.470	765.731
1363.655	768.315
1365.261	770.755
1367.151	773.080
1369.187	775.321
1371.230	777.508
1373.142	779.672
1374.786	781.842
1376.022	784.049
1376.752	786.319
1377.027	788.662
1376.932	791.085
1376.551	793.593
1375.969	796.193
1375.271	798.892
1374.543	801.696
1373.869	804.611
1373.307	807.637
1372.855	810.759
1372.503	813.958
1372.242	817.219
1372.061	820.523
1371.951	823.853
1371.903	827.192
1371.906	830.522
1371.952	833.827
1372.029	837.089
1372.122	840.303
1372.208	843.483
1372.260	846.646
1372.253	849.808
1372.162	852.984
1371.961	856.190
1371.626	859.441
1371.131	862.755
1370.450	866.147
1369.558	869.630
1368.446	873.189
1367.116	876.768
1365.573	880.311
1363.822	883.763
1361.867	887.069
1359.714	890.171
1357.366	893.016
1354.830	895.546
1352.108	897.706
1349.206	899.440
1346.130	900.697
1342.902	901.503
1339.556	901.940
1336.127	902.092
1332.650	902.044
1329.159	901.880
1325.690	901.684
1322.277	901.540
1318.955	901.532
1315.759	901.746
1312.723	902.263
1309.863	903.107
1307.169	904.232
1304.633	905.586
1302.245	907.119
1299.996	908.779
1297.875	910.516
1295.875	912.278
1293.984	914.015
1292.185	915.678
1290.423	917.227
1288.636	918.628
1286.760	919.842
1284.734	920.834
1282.494	921.566
1279.977	922.002
1277.141	922.126
1274.022	921.999
1270.674	921.699
1267.153	921.309
1263.514	920.906
1259.812	920.572
1256.101	920.386
1252.437	920.429
1248.875	920.779
1245.470	921.518
1242.274	922.721
1239.297	924.380
1236.512	926.415
1233.888	928.745
1231.396	931.285
1229.008	933.955
1226.693	936.671
1224.422	939.351
1222.166	941.912
1219.895	944.272
1217.580	946.348
1215.202	948.078
1212.762	949.448
1210.268	950.450
1207.724	951.076
1205.137	951.318
1202.513	951.168
1199.857	950.619
1197.176	949.663
1194.472	948.300
1191.740	946.540
1188.977	944.394
1186.179	941.875
1183.340	938.995
1180.456	935.765
1177.523	932.197
1174.537	928.302
1171.492	924.094
1168.386	919.583
1165.212	914.781
1161.967	909.700
1158.647	904.351
1155.246	898.748
1151.765	892.905
1148.210	886.846
1144.590	880.596
1140.913	874.179
1137.187	867.621
1133.420	860.946
1129.621	854.180
1125.798	847.346
1121.958	840.470
1118.112	833.576
1114.265	826.690
1110.427	819.836
1106.606	813.039
1102.811	806.323
1099.048	799.714
1095.327	793.237
1091.656	786.915
1088.043	780.774
1084.496	774.839
1081.024	769.135
1077.634	763.686
1074.335	758.517
1071.136	753.646
1068.046	749.059
1065.077	744.727
1062.239	740.622
1059.544	736.717
1057.002	732.985
1054.624	729.398
1052.421	725.929
1050.404	722.549
1048.584	719.232
1046.971	715.950
1045.578	712.675
1044.413	709.380
1043.489	706.038
1042.805	702.648
1042.357	699.225
1042.138	695.788
1042.143	692.353
1042.365	688.938
1042.798	685.559
1043.436	682.234
1044.274	678.980
1045.305	675.815
1046.523	672.754
1047.893	669.803
1049.348	666.950
1050.817	664.183
1052.229	661.489
1053.515	658.856
1054.604	656.272
1055.425	653.724
1055.909	651.200
1055.990	648.689
1055.734	646.211
1055.327	643.813
1054.960	641.544
1054.822	639.453
1055.105	637.589
1056.000	636.000
