X	Y
50.741	24.074
50.808	23.989
50.895	23.913
50.998	23.844
51.119	23.783
51.255	23.728
51.405	23.680
51.569	23.637
51.745	23.600
51.932	23.568
52.130	23.540
52.337	23.516
52.552	23.495
52.774	23.478
53.003	23.463
53.236	23.450
53.474	23.438
53.714	23.428
53.956	23.418
54.200	23.408
54.443	23.398
54.686	23.388
54.928	23.378
55.170	23.368
55.412	23.358
55.654	23.349
55.895	23.340
56.135	23.332
56.375	23.325
56.614	23.319
56.853	23.315
57.092	23.312
57.329	23.311
57.566	23.312
57.802	23.315
58.038	23.321
58.273	23.328
58.507	23.339
58.740	23.352
58.972	23.368
59.204	23.387
59.435	23.410
59.664	23.436
59.893	23.466
60.121	23.500
60.347	23.538
60.573	23.579
60.797	23.624
61.020	23.673
61.242	23.725
61.462	23.780
61.680	23.839
61.897	23.901
62.113	23.965
62.326	24.033
62.538	24.103
62.747	24.176
62.955	24.252
63.160	24.330
63.364	24.410
63.565	24.492
63.763	24.577
63.960	24.663
64.153	24.751
64.344	24.841
64.533	24.933
64.718	25.026
64.901	25.120
65.081	25.216
65.258	25.313
65.432	25.412
65.604	25.513
65.772	25.616
65.938	25.721
66.101	25.828
66.261	25.937
66.419	26.049
66.573	26.163
66.725	26.280
66.875	26.399
67.021	26.522
67.165	26.647
67.306	26.776
67.444	26.908
67.580	27.043
67.713	27.182
67.844	27.324
67.971	27.470
68.096	27.620
68.218	27.772
68.337	27.927
68.452	28.084
68.563	28.243
68.670	28.404
68.773	28.566
68.872	28.729
68.966	28.893
69.055	29.056
69.139	29.219
69.217	29.382
69.290	29.544
69.357	29.704
69.418	29.862
69.473	30.019
69.521	30.173
69.563	30.325
69.598	30.473
69.626	30.619
69.648	30.761
69.665	30.901
69.677	31.039
69.684	31.175
69.687	31.308
69.686	31.439
69.681	31.569
69.674	31.697
69.664	31.823
69.652	31.948
69.639	32.072
69.624	32.195
69.608	32.317
69.593	32.438
69.578	32.558
69.564	32.677
69.551	32.795
69.541	32.912
69.534	33.028
69.530	33.143
69.530	33.257
69.535	33.370
69.546	33.482
69.562	33.594
69.584	33.704
69.609	33.814
69.638	33.923
69.668	34.032
69.697	34.140
69.725	34.249
69.749	34.358
69.768	34.468
69.780	34.578
69.784	34.689
69.779	34.801
69.763	34.914
69.737	35.029
69.701	35.145
69.657	35.261
69.607	35.380
69.550	35.499
69.489	35.619
69.424	35.740
69.356	35.862
69.287	35.984
69.217	36.108
69.149	36.232
69.082	36.358
69.018	36.483
68.957	36.610
68.901	36.736
68.848	36.863
68.799	36.990
68.753	37.116
68.711	37.241
68.673	37.366
68.638	37.489
68.607	37.611
68.579	37.731
68.555	37.849
68.535	37.966
68.518	38.079
68.504	38.191
68.492	38.300
68.482	38.407
68.472	38.513
68.460	38.618
68.446	38.722
68.428	38.826
68.406	38.931
68.378	39.036
68.344	39.142
68.301	39.250
68.249	39.359
68.188	39.471
68.121	39.584
68.047	39.698
67.969	39.814
67.886	39.931
67.801	40.050
67.714	40.169
67.627	40.289
67.540	40.410
67.455	40.531
67.374	40.652
67.296	40.774
67.223	40.896
67.156	41.017
67.096	41.139
67.040	41.258
66.988	41.376
66.937	41.492
66.887	41.604
66.836	41.712
66.783	41.815
66.725	41.913
66.662	42.004
66.593	42.089
66.515	42.166
66.427	42.235
66.329	42.295
66.222	42.347
66.109	42.393
65.991	42.433
65.869	42.469
65.747	42.501
65.626	42.530
65.507	42.558
65.393	42.585
65.285	42.612
65.186	42.641
65.097	42.672
65.019	42.707
64.950	42.744
64.888	42.785
64.829	42.830
64.773	42.877
64.715	42.929
64.654	42.983
64.587	43.041
64.514	43.103
64.434	43.168
64.351	43.235
