X,Y
50.449,90.596
50.511,90.520
50.589,90.447
50.682,90.378
50.787,90.312
50.904,90.249
51.031,90.190
51.167,90.136
51.310,90.085
51.460,90.039
51.615,89.996
51.774,89.959
51.935,89.926
52.097,89.898
52.260,89.875
52.420,89.857
52.578,89.845
52.732,89.838
52.881,89.836
53.025,89.840
53.164,89.848
53.300,89.861
53.433,89.877
53.563,89.896
53.690,89.918
53.815,89.942
53.940,89.967
54.063,89.994
54.186,90.021
54.309,90.048
54.432,90.075
54.556,90.101
54.682,90.126
54.811,90.149
54.941,90.169
55.073,90.188
55.208,90.206
55.345,90.222
55.484,90.237
55.625,90.251
55.769,90.265
55.914,90.278
56.061,90.292
56.209,90.306
56.360,90.321
56.512,90.336
56.666,90.353
56.822,90.371
56.979,90.391
57.138,90.413
57.298,90.437
57.460,90.464
57.623,90.493
57.787,90.525
57.952,90.559
58.119,90.596
58.287,90.635
58.456,90.676
58.627,90.719
58.798,90.765
58.970,90.812
59.143,90.862
59.317,90.913
59.492,90.967
59.668,91.022
59.844,91.079
60.021,91.137
60.199,91.198
60.378,91.259
60.556,91.323
60.736,91.387
60.916,91.453
61.096,91.521
61.277,91.589
61.458,91.659
61.638,91.731
61.819,91.804
61.998,91.880
62.177,91.957
62.355,92.036
62.531,92.118
62.705,92.202
62.878,92.288
63.049,92.378
63.217,92.470
63.383,92.565
63.545,92.663
63.705,92.764
63.862,92.869
64.014,92.977
64.163,93.089
64.308,93.205
64.449,93.324
64.585,93.448
64.717,93.576
64.843,93.708
64.964,93.845
65.081,93.985
65.192,94.129
65.299,94.277
65.401,94.428
65.498,94.581
65.590,94.738
65.678,94.896
65.762,95.057
65.841,95.219
65.916,95.383
65.987,95.548
66.054,95.714
66.117,95.880
66.176,96.047
66.231,96.214
66.282,96.381
66.329,96.547
66.373,96.713
66.413,96.878
66.450,97.041
66.483,97.203
66.513,97.364
66.540,97.524
66.564,97.683
66.584,97.842
66.602,98.000
66.616,98.158
66.628,98.316
66.636,98.474
66.642,98.632
66.645,98.791
66.646,98.950
66.644,99.111
66.639,99.272
66.632,99.435
66.622,99.599
66.610,99.764
66.596,99.932
66.580,100.101
66.561,100.273
66.540,100.446
66.517,100.620
66.492,100.795
66.464,100.971
66.435,101.147
66.403,101.323
66.368,101.499
66.332,101.673
66.293,101.847
66.251,102.018
66.207,102.188
66.161,102.356
66.112,102.521
66.061,102.683
66.008,102.841
65.951,102.996
65.893,103.147
65.832,103.294
65.768,103.435
65.702,103.572
65.633,103.703
65.561,103.830
65.486,103.953
65.409,104.072
65.329,104.188
65.246,104.301
65.160,104.412
65.071,104.521
64.978,104.628
64.883,104.734
64.784,104.839
64.682,104.944
64.577,105.049
64.468,105.154
64.356,105.261
64.240,105.368
64.120,105.478
63.997,105.589
63.871,105.702
63.743,105.817
63.612,105.932
63.479,106.047
63.344,106.163
63.209,106.278
63.073,106.393
62.937,106.507
62.801,106.619
62.666,106.730
62.532,106.839
62.399,106.945
62.268,107.049
62.140,107.149
62.014,107.246
61.891,107.338
61.772,107.427
61.657,107.511
61.546,107.590
61.440,107.664
61.337,107.733
61.236,107.797
61.137,107.856
61.039,107.912
60.941,107.963
60.841,108.010
60.740,108.054
60.635,108.094
60.526,108.131
60.413,108.165
60.294,108.197
60.169,108.225
60.036,108.251
59.895,108.275
59.746,108.296
59.592,108.314
59.431,108.328
59.266,108.339
59.096,108.344
58.923,108.345
58.747,108.340
58.570,108.329
58.391,108.312
58.212,108.289
58.034,108.258
57.857,108.219
57.681,108.173
57.509,108.117
57.340,108.053
57.175,107.980
57.015,107.897
56.862,107.803
56.714,107.699
56.574,107.583
56.441,107.459
56.313,107.325
56.192,107.184
56.075,107.037
55.964,106.885
55.856,106.730
55.752,106.571
55.651,106.411
55.553,106.251
55.457,106.092
55.363,105.935
55.270,105.781
55.177,105.631
55.085,105.487
54.992,105.350
54.898,105.222
54.803,105.102
54.706,104.992
54.607,104.895
54.505,104.809
54.399,104.737
54.292,104.676
54.182,104.624
54.071,104.579
53.959,104.540
53.846,104.505
53.734,104.471
53.623,104.438
53.513,104.403
53.405,104.364
53.299,104.320
53.197,104.269
53.097,104.208
53.002,104.137
52.911,104.053
52.824,103.958
52.741,103.853
52.662,103.737
52.586,103.612
52.513,103.478
52.442,103.337
52.374,103.188
52.307,103.033
52.243,102.873
52.180,102.707
52.118,102.537
52.057,102.364
51.996,102.187
51.936,102.009
51.876,101.829
51.815,101.649
51.754,101.468
51.692,101.289
51.629,101.111
51.564,100.934
51.498,100.760
51.431,100.588
51.363,100.418
51.294,100.250
51.225,100.085
51.154,99.922
51.083,99.761
51.011,99.604
50.938,99.448
50.865,99.296
50.792,99.146
50.718,99.000
50.645,98.856
50.571,98.715
50.497,98.578
50.423,98.444
50.349,98.313
50.275,98.186
50.202,98.062
50.129,97.942
50.057,97.825
49.988,97.710
49.921,97.599
49.857,97.490
49.797,97.382
49.741,97.277
49.691,97.173
49.647,97.070
49.610,96.968
49.580,96.867
49.557,96.765
49.544,96.664
49.540,96.563
49.545,96.460
49.559,96.357
49.581,96.253
49.609,96.148
49.642,96.041
49.679,95.932
49.720,95.822
49.762,95.709
49.806,95.594
49.849,95.476
49.891,95.356
49.930,95.233
49.966,95.106
49.997,94.976
50.023,94.842
50.044,94.705
50.061,94.566
50.073,94.425
50.083,94.282
50.089,94.138
50.094,93.994
50.097,93.850
50.100,93.707
50.102,93.565
50.104,93.424
50.107,93.286
50.112,93.150
50.118,93.018
50.127,92.890
50.140,92.766
50.156,92.647
50.175,92.532
50.197,92.422
50.221,92.316
50.246,92.213
50.271,92.114
50.295,92.017
50.317,91.922
50.337,91.829
50.353,91.737
50.365,91.646
50.372,91.555
50.373,91.464
50.368,91.373
50.360,91.282
50.352,91.191
50.344,91.102
50.340,91.013
50.342,90.925
50.351,90.840
50.370,90.756
50.402,90.674
50.449,90.596
