X,Y
1019.000,511.000
1019.620,509.757
1020.372,508.502
1021.254,507.234
1022.259,505.954
1023.384,504.663
1024.625,503.359
1025.977,502.043
1027.436,500.716
1028.996,499.377
1030.655,498.026
1032.408,496.664
1034.250,495.291
1036.176,493.907
1038.183,492.512
1040.266,491.106
1042.421,489.690
1044.644,488.263
1046.929,486.825
1049.273,485.377
1051.671,483.919
1054.119,482.450
1056.613,480.972
1059.148,479.484
1061.719,477.986
1064.323,476.479
1066.956,474.962
1069.611,473.436
1072.286,471.901
1074.977,470.356
1077.677,468.803
1080.384,467.240
1083.093,465.669
1085.799,464.090
1088.498,462.502
1091.186,460.905
1093.858,459.301
1096.510,457.688
1099.139,456.067
1101.746,454.439
1104.332,452.802
1106.896,451.157
1109.441,449.504
1111.967,447.842
1114.476,446.173
1116.967,444.495
1119.442,442.808
1121.902,441.113
1124.348,439.410
1126.780,437.698
1129.200,435.978
1131.609,434.249
1134.007,432.512
1136.395,430.766
1138.775,429.010
1141.146,427.247
1143.511,425.474
1145.870,423.693
1148.224,421.902
1150.573,420.103
1152.919,418.294
1155.263,416.477
1157.606,414.650
1159.947,412.815
1162.290,410.970
1164.633,409.116
1166.979,407.252
1169.328,405.379
1171.681,403.497
1174.038,401.605
1176.402,399.704
1178.772,397.794
1181.151,395.873
1183.537,393.943
1185.933,392.004
1188.340,390.055
1190.758,388.096
1193.188,386.127
1195.632,384.148
1198.089,382.160
1200.562,380.161
1203.050,378.153
1205.555,376.135
1208.075,374.108
1210.610,372.072
1213.159,370.030
1215.722,367.981
1218.298,365.926
1220.886,363.866
1223.487,361.802
1226.098,359.734
1228.720,357.664
1231.352,355.592
1233.993,353.519
1236.643,351.446
1239.301,349.373
1241.966,347.301
1244.638,345.231
1247.316,343.165
1250.000,341.101
1252.689,339.043
1255.382,336.989
1258.079,334.941
1260.779,332.900
1263.481,330.867
1266.185,328.842
1268.890,326.826
1271.596,324.819
1274.301,322.824
1277.006,320.840
1279.710,318.868
1282.412,316.909
1285.111,314.964
1287.807,313.033
1290.499,311.118
1293.186,309.218
1295.869,307.336
1298.546,305.472
1301.216,303.625
1303.880,301.799
1306.536,299.992
1309.184,298.206
1311.823,296.441
1314.452,294.699
1317.072,292.980
1319.681,291.285
1322.278,289.615
1324.864,287.970
1327.437,286.352
1329.997,284.760
1332.543,283.196
1335.078,281.659
1337.600,280.150
1340.110,278.667
1342.609,277.212
1345.097,275.785
1347.574,274.385
1350.041,273.012
1352.498,271.667
1354.946,270.349
1357.385,269.058
1359.816,267.796
1362.238,266.560
1364.653,265.352
1367.061,264.172
1369.461,263.020
1371.855,261.895
1374.243,260.798
1376.625,259.728
1379.002,258.686
1381.374,257.672
1383.742,256.685
1386.105,255.727
1388.465,254.796
1390.822,253.893
1393.176,253.017
1395.527,252.170
1397.876,251.350
1400.224,250.559
1402.571,249.795
1404.917,249.059
1407.262,248.352
1409.608,247.672
1411.953,247.020
1414.300,246.397
1416.648,245.801
1418.998,245.233
1421.349,244.694
1423.703,244.182
1426.057,243.698
1428.413,243.241
1430.768,242.811
1433.122,242.407
1435.476,242.029
1437.827,241.676
1440.176,241.348
1442.521,241.045
1444.862,240.766
1447.199,240.511
1449.531,240.279
1451.857,240.071
1454.177,239.885
1456.489,239.721
1458.794,239.578
1461.091,239.458
1463.378,239.358
1465.656,239.278
1467.923,239.219
1470.180,239.180
1472.425,239.159
1474.658,239.158
1476.878,239.175
1479.085,239.211
1481.277,239.264
1483.455,239.334
1485.618,239.421
1487.764,239.525
1489.894,239.645
1492.006,239.780
1494.101,239.930
1496.177,240.096
1498.232,240.277
1500.266,240.476
1502.277,240.695
1504.261,240.936
1506.217,241.200
1508.144,241.491
1510.039,241.809
1511.901,242.157
1513.726,242.537
1515.515,242.951
1517.263,243.401
1518.970,243.889
1520.634,244.417
1522.252,244.987
1523.823,245.601
1525.345,246.261
1526.815,246.969
1528.232,247.727
1529.594,248.537
1530.899,249.401
1532.144,250.321
1533.329,251.299
1534.450,252.337
1535.507,253.438
1536.496,254.602
1537.418,255.830
1538.274,257.117
1539.063,258.461
1539.786,259.858
1540.446,261.304
1541.040,262.797
1541.572,264.331
1542.041,265.905
1542.448,267.514
1542.794,269.155
1543.080,270.825
1543.305,272.520
1543.472,274.236
1543.580,275.971
1543.630,277.720
1543.624,279.480
1543.561,281.248
1543.443,283.021
1543.270,284.793
1543.042,286.564
1542.761,288.327
1542.428,290.082
1542.042,291.822
1541.605,293.547
1541.118,295.255
1540.581,296.947
1539.994,298.622
1539.360,300.281
1538.677,301.924
1537.948,303.553
1537.172,305.166
1536.352,306.764
1535.486,308.347
1534.577,309.917
1533.624,311.472
1532.629,313.013
1531.592,314.541
1530.515,316.056
1529.397,317.558
1528.240,319.048
1527.043,320.525
1525.809,321.990
1524.538,323.443
1523.230,324.884
1521.887,326.315
1520.508,327.734
1519.095,329.143
1517.649,330.541
1516.170,331.929
1514.659,333.308
1513.117,334.677
1511.549,336.038
1509.957,337.392
1508.345,338.741
1506.717,340.086
1505.077,341.428
1503.427,342.768
1501.773,344.109
1500.117,345.450
1498.463,346.794
1496.815,348.141
1495.176,349.494
1493.549,350.853
1491.940,352.219
1490.351,353.594
1488.785,354.980
1487.247,356.377
1485.740,357.787
1484.268,359.211
1482.834,360.651
1481.442,362.107
1480.096,363.582
1478.799,365.075
1477.555,366.590
1476.368,368.126
1475.240,369.686
1474.177,371.270
1473.181,372.880
1472.255,374.518
1471.405,376.184
1470.629,377.877
1469.927,379.597
1469.297,381.341
1468.738,383.108
1468.249,384.897
1467.828,386.706
1467.475,388.533
1467.188,390.376
1466.965,392.235
1466.806,394.107
1466.709,395.991
1466.672,397.885
1466.696,399.789
1466.778,401.699
1466.917,403.615
1467.112,405.535
1467.361,407.457
1467.663,409.381
1468.018,411.303
1468.424,413.223
1468.878,415.140
1469.382,417.051
1469.932,418.954
1470.527,420.850
1471.167,422.734
1471.851,424.608
1472.576,426.467
1473.341,428.313
1474.142,430.144
1474.978,431.960
1475.845,433.761
1476.742,435.545
1477.665,437.313
1478.612,439.064
1479.579,440.797
1480.566,442.512
1481.568,444.209
1482.584,445.886
1483.610,447.545
1484.644,449.183
1485.684,450.801
1486.726,452.397
1487.769,453.973
1488.809,455.526
1489.844,457.057
1490.871,458.565
1491.888,460.050
1492.892,461.511
1493.880,462.947
1494.851,464.359
1495.800,465.745
1496.726,467.106
1497.625,468.440
1498.496,469.747
1499.334,471.029
1500.135,472.288
1500.893,473.527
1501.603,474.748
1502.261,475.955
1502.862,477.149
1503.400,478.334
1503.871,479.512
1504.270,480.685
1504.592,481.857
1504.832,483.031
1504.985,484.208
1505.046,485.391
1505.010,486.584
1504.872,487.788
1504.628,489.007
1504.272,490.242
1503.799,491.498
1503.210,492.773
1502.508,494.067
1501.700,495.376
1500.791,496.697
1499.785,498.029
1498.690,499.368
1497.509,500.713
1496.248,502.061
1494.913,503.408
1493.510,504.754
1492.042,506.094
1490.517,507.428
1488.939,508.751
1487.313,510.062
1485.646,511.358
1483.942,512.637
1482.207,513.895
1480.446,515.132
1478.664,516.343
1476.868,517.527
1475.062,518.680
1473.252,519.802
1471.443,520.888
1469.641,521.936
1467.851,522.945
1466.078,523.911
1464.328,524.831
1462.605,525.705
1460.914,526.534
1459.255,527.323
1457.630,528.077
1456.043,528.799
1454.494,529.494
1452.986,530.167
1451.520,530.822
