X,Y
1037.000,570.000
1038.098,569.447
1039.365,568.971
1040.795,568.570
1042.381,568.241
1044.118,567.981
1046.000,567.788
1048.020,567.659
1050.172,567.592
1052.451,567.584
1054.849,567.632
1057.362,567.734
1059.983,567.888
1062.706,568.090
1065.525,568.339
1068.433,568.631
1071.425,568.964
1074.495,569.336
1077.636,569.743
1080.842,570.184
1084.108,570.655
1087.427,571.155
1090.793,571.680
1094.200,572.227
1097.642,572.796
1101.113,573.382
1104.607,573.983
1108.118,574.597
1111.639,575.221
1115.164,575.852
1118.688,576.488
1122.205,577.126
1125.707,577.765
1129.190,578.400
1132.647,579.030
1136.072,579.651
1139.458,580.263
1142.804,580.862
1146.111,581.451
1149.378,582.029
1152.608,582.597
1155.802,583.156
1158.961,583.707
1162.086,584.251
1165.178,584.788
1168.239,585.318
1171.269,585.843
1174.271,586.363
1177.245,586.879
1180.192,587.392
1183.113,587.901
1186.010,588.409
1188.885,588.916
1191.737,589.422
1194.569,589.928
1197.381,590.435
1200.175,590.943
1202.952,591.454
1205.713,591.967
1208.459,592.484
1211.192,593.006
1213.912,593.532
1216.622,594.064
1219.321,594.602
1222.012,595.148
1224.696,595.701
1227.373,596.263
1230.045,596.834
1232.713,597.414
1235.379,598.006
1238.042,598.608
1240.706,599.223
1243.371,599.850
1246.037,600.491
1248.704,601.146
1251.370,601.817
1254.032,602.506
1256.689,603.213
1259.338,603.940
1261.976,604.689
1264.603,605.460
1267.215,606.256
1269.811,607.077
1272.388,607.925
1274.945,608.801
1277.478,609.707
1279.987,610.644
1282.468,611.613
1284.920,612.617
1287.341,613.655
1289.728,614.729
1292.079,615.842
1294.393,616.994
1296.666,618.186
1298.897,619.420
1301.084,620.698
1303.224,622.020
1305.316,623.389
1307.357,624.805
1309.345,626.269
1311.278,627.784
1313.153,629.350
1314.970,630.970
1316.724,632.643
1318.415,634.373
1320.041,636.159
1321.601,638.001
1323.096,639.896
1324.530,641.843
1325.902,643.838
1327.214,645.879
1328.469,647.964
1329.667,650.090
1330.810,652.256
1331.899,654.457
1332.937,656.693
1333.924,658.960
1334.862,661.257
1335.752,663.579
1336.597,665.927
1337.397,668.296
1338.155,670.684
1338.871,673.089
1339.547,675.509
1340.185,677.941
1340.786,680.382
1341.351,682.831
1341.883,685.284
1342.382,687.740
1342.851,690.195
1343.291,692.648
1343.702,695.096
1344.088,697.536
1344.448,699.967
1344.786,702.385
1345.101,704.788
1345.396,707.175
1345.671,709.548
1345.925,711.907
1346.159,714.253
1346.373,716.587
1346.567,718.911
1346.742,721.225
1346.896,723.531
1347.032,725.831
1347.148,728.124
1347.245,730.412
1347.323,732.696
1347.383,734.978
1347.423,737.258
1347.446,739.537
1347.450,741.818
1347.435,744.100
1347.403,746.384
1347.353,748.673
1347.285,750.967
1347.200,753.267
1347.097,755.575
1346.977,757.891
1346.840,760.216
1346.686,762.552
1346.515,764.900
1346.328,767.261
1346.124,769.636
1345.904,772.026
1345.669,774.430
1345.421,776.844
1345.164,779.265
1344.900,781.689
1344.632,784.113
1344.362,786.532
1344.094,788.943
1343.829,791.342
1343.572,793.726
1343.323,796.091
1343.087,798.432
1342.866,800.747
1342.662,803.032
1342.479,805.283
1342.318,807.496
1342.184,809.667
1342.077,811.794
1342.002,813.871
1341.961,815.896
1341.957,817.865
1341.991,819.774
1342.068,821.619
1342.190,823.396
1342.359,825.103
1342.578,826.734
1342.851,828.288
1343.178,829.759
1343.559,831.150
1343.984,832.469
1344.447,833.723
1344.940,834.919
1345.455,836.064
1345.984,837.168
1346.519,838.236
1347.054,839.276
1347.579,840.296
1348.088,841.303
1348.573,842.305
1349.025,843.309
1349.438,844.323
1349.802,845.354
1350.112,846.410
1350.362,847.493
1350.548,848.601
1350.670,849.730
