X,Y
51.964,26.815
51.966,26.716
51.970,26.613
51.977,26.508
51.987,26.401
52.000,26.291
52.015,26.178
52.034,26.064
52.055,25.949
52.080,25.831
52.108,25.712
52.140,25.592
52.174,25.471
52.213,25.349
52.254,25.227
52.300,25.104
52.349,24.981
52.402,24.858
52.459,24.735
52.519,24.612
52.582,24.489
52.649,24.366
52.718,24.243
52.790,24.120
52.866,23.998
52.943,23.876
53.023,23.755
53.105,23.634
53.190,23.513
53.276,23.393
53.364,23.274
53.454,23.155
53.545,23.037
53.637,22.920
53.731,22.803
53.825,22.688
53.921,22.573
54.017,22.459
54.114,22.346
54.212,22.233
54.311,22.122
54.412,22.010
54.513,21.899
54.615,21.789
54.719,21.678
54.824,21.568
54.930,21.458
55.038,21.348
55.147,21.238
55.258,21.128
55.371,21.018
55.485,20.907
55.600,20.796
55.718,20.684
55.837,20.572
55.958,20.459
56.082,20.345
56.207,20.231
56.334,20.115
56.463,19.999
56.594,19.883
56.726,19.766
56.860,19.648
56.996,19.530
57.134,19.412
57.273,19.293
57.413,19.175
57.555,19.057
57.698,18.938
57.842,18.820
57.988,18.703
58.134,18.585
58.282,18.469
58.430,18.352
58.580,18.237
58.730,18.122
58.880,18.008
59.032,17.895
59.184,17.783
59.337,17.673
59.490,17.563
59.643,17.455
59.797,17.348
59.951,17.243
60.105,17.139
60.260,17.036
60.415,16.934
60.571,16.833
60.727,16.733
60.884,16.634
61.041,16.536
61.199,16.438
61.358,16.340
61.517,16.243
61.677,16.145
61.838,16.048
62.000,15.952
62.162,15.854
62.326,15.757
62.490,15.660
62.655,15.562
62.822,15.463
62.989,15.364
63.157,15.264
63.327,15.163
63.497,15.062
63.669,14.959
63.842,14.855
64.017,14.750
64.192,14.644
64.369,14.537
64.547,14.429
64.726,14.321
64.906,14.213
65.086,14.104
65.268,13.996
65.450,13.888
65.633,13.781
65.817,13.675
66.002,13.570
66.187,13.466
66.372,13.363
66.558,13.263
66.744,13.164
66.931,13.067
67.118,12.972
67.305,12.880
67.492,12.791
67.679,12.705
67.866,12.622
68.054,12.542
68.241,12.466
68.428,12.394
68.614,12.325
68.801,12.261
68.987,12.202
69.173,12.147
69.358,12.096
69.542,12.051
69.725,12.009
69.907,11.972
70.087,11.939
70.266,11.909
70.443,11.884
70.618,11.863
70.790,11.845
70.960,11.831
71.127,11.821
71.291,11.814
71.452,11.810
71.610,11.809
71.764,11.812
71.914,11.817
72.060,11.826
72.202,11.837
72.339,11.850
72.472,11.867
72.599,11.885
72.722,11.906
72.839,11.930
72.952,11.957
73.060,11.987
73.164,12.022
73.263,12.062
73.358,12.106
73.450,12.157
73.538,12.214
73.622,12.277
73.704,12.349
73.782,12.428
73.858,12.515
73.931,12.612
74.001,12.717
74.070,12.833
74.137,12.958
74.201,13.092
74.263,13.233
74.323,13.380
74.381,13.533
74.437,13.692
74.490,13.853
74.541,14.019
74.590,14.186
74.637,14.354
74.682,14.523
74.724,14.691
74.764,14.858
74.802,15.023
74.837,15.184
74.870,15.342
74.901,15.494
74.929,15.641
74.955,15.781
74.979,15.913
75.001,16.037
75.019,16.152
75.035,16.260
75.047,16.361
75.055,16.456
75.059,16.546
75.057,16.633
75.050,16.716
75.037,16.797
75.017,16.877
74.991,16.957
74.957,17.038
74.915,17.121
74.865,17.205
74.807,17.293
74.743,17.383
74.672,17.475
74.597,17.571
74.517,17.668
74.434,17.769
74.349,17.871
74.262,17.977
74.174,18.085
74.085,18.196
73.998,18.309
73.912,18.425
73.829,18.543
73.749,18.664
73.674,18.787
73.603,18.914
73.538,19.042
73.479,19.174
73.427,19.307
73.380,19.443
73.339,19.581
73.303,19.720
73.272,19.861
73.246,20.004
73.223,20.148
73.205,20.293
73.190,20.439
73.179,20.586
73.171,20.733
73.165,20.880
73.162,21.028
