X,Y
52.342,28.557
52.394,28.509
52.465,28.462
52.555,28.415
52.662,28.369
52.786,28.323
52.926,28.278
53.080,28.234
53.248,28.191
53.428,28.149
53.620,28.108
53.822,28.069
54.033,28.030
54.253,27.992
54.480,27.956
54.714,27.921
54.953,27.888
55.196,27.856
55.442,27.825
55.690,27.796
55.939,27.769
56.189,27.744
56.437,27.720
56.684,27.698
56.928,27.678
57.167,27.660
57.401,27.644
57.630,27.631
57.853,27.619
58.071,27.610
58.284,27.602
58.491,27.598
58.694,27.595
58.892,27.595
59.087,27.598
59.276,27.603
59.463,27.611
59.645,27.622
59.824,27.636
59.999,27.652
60.172,27.672
60.342,27.694
60.509,27.719
60.674,27.748
60.836,27.780
60.997,27.815
61.156,27.853
61.313,27.895
61.469,27.941
61.624,27.989
61.778,28.042
61.931,28.098
62.083,28.157
62.235,28.220
62.386,28.285
62.538,28.353
62.688,28.424
62.839,28.496
62.990,28.571
63.141,28.647
63.291,28.725
63.443,28.805
63.594,28.885
63.746,28.966
63.898,29.048
64.051,29.130
64.205,29.212
64.360,29.294
64.515,29.376
64.672,29.457
64.830,29.538
64.989,29.618
65.149,29.696
65.310,29.773
65.473,29.849
65.637,29.924
65.801,29.998
65.965,30.073
66.130,30.148
66.294,30.223
66.458,30.300
66.622,30.377
66.784,30.456
66.945,30.538
67.104,30.621
67.262,30.707
67.417,30.796
67.570,30.888
67.721,30.984
67.868,31.084
68.012,31.188
68.153,31.297
68.291,31.411
68.424,31.530
68.553,31.654
68.678,31.785
68.797,31.922
68.912,32.065
69.023,32.214
69.129,32.368
69.230,32.527
69.328,32.690
69.421,32.857
69.510,33.028
69.595,33.202
69.677,33.380
69.755,33.559
69.829,33.741
69.900,33.924
69.968,34.108
70.032,34.293
70.094,34.478
70.153,34.664
70.208,34.849
70.262,35.033
70.312,35.216
70.361,35.398
70.406,35.577
70.450,35.754
70.492,35.928
70.532,36.098
70.570,36.266
70.606,36.429
70.640,36.590
70.672,36.749
70.701,36.904
70.729,37.057
70.754,37.208
70.776,37.358
70.796,37.506
70.813,37.652
70.827,37.797
70.839,37.941
70.847,38.085
70.853,38.229
70.855,38.372
70.854,38.515
70.850,38.659
70.842,38.803
70.831,38.948
70.816,39.094
70.798,39.241
70.776,39.389
70.751,39.538
70.723,39.687
70.691,39.838
70.656,39.989
70.619,40.141
70.578,40.293
70.535,40.445
70.490,40.598
70.441,40.751
70.391,40.904
70.338,41.057
70.283,41.210
70.226,41.362
70.167,41.515
70.107,41.667
70.044,41.818
69.980,41.969
69.915,42.120
69.848,42.269
69.779,42.418
69.710,42.566
69.638,42.714
69.565,42.860
69.491,43.006
69.415,43.151
69.337,43.295
69.257,43.438
69.176,43.581
69.092,43.722
69.007,43.863
68.920,44.003
68.831,44.142
68.739,44.280
68.646,44.417
68.550,44.553
68.453,44.688
68.353,44.822
68.250,44.956
68.146,45.088
68.038,45.219
67.929,45.349
67.817,45.478
67.704,45.605
67.588,45.731
67.470,45.855
67.351,45.977
67.229,46.096
67.107,46.214
66.982,46.328
66.857,46.440
66.730,46.549
66.602,46.655
66.473,46.757
66.343,46.856
66.213,46.951
66.081,47.042
65.949,47.129
65.817,47.212
65.684,47.290
65.551,47.364
65.418,47.433
65.285,47.497
65.152,47.557
65.019,47.612
64.885,47.663
64.751,47.710
64.616,47.753
64.481,47.793
64.345,47.830
64.209,47.865
64.071,47.897
63.933,47.926
63.794,47.954
63.654,47.979
63.513,48.004
63.370,48.027
63.226,48.049
63.081,48.071
62.934,48.092
62.786,48.113
62.637,48.133
62.486,48.153
62.336,48.172
62.185,48.189
62.034,48.204
61.885,48.216
61.737,48.225
61.590,48.231
61.446,48.233
61.304,48.230
61.166,48.223
61.031,48.210
60.900,48.192
60.773,48.167
60.651,48.135
60.535,48.096
60.424,48.050
60.319,47.996
60.220,47.933
60.126,47.864
60.038,47.787
59.953,47.703
59.872,47.614
59.794,47.519
59.718,47.420
59.644,47.316
59.570,47.208
59.497,47.096
59.424,46.982
59.349,46.866
59.273,46.748
59.195,46.628
59.114,46.508
59.030,46.388
58.941,46.267
58.848,46.148
58.752,46.030
58.653,45.912
58.551,45.797
58.446,45.683
58.339,45.572
58.231,45.464
58.121,45.358
58.010,45.256
57.899,45.157
57.788,45.062
57.676,44.972
57.565,44.886
57.455,44.805
57.347,44.729
57.240,44.659
57.135,44.595
57.033,44.537
56.933,44.485
56.836,44.439
56.742,44.397
56.649,44.357
56.559,44.319
56.471,44.282
56.385,44.243
56.300,44.203
56.217,44.159
56.135,44.111
56.054,44.057
55.974,43.996
55.895,43.927
55.816,43.849
55.738,43.762
55.661,43.667
55.584,43.565
55.508,43.455
55.431,43.339
55.355,43.216
55.280,43.088
55.204,42.955
55.128,42.817
55.053,42.676
54.977,42.530
54.901,42.382
54.825,42.231
54.748,42.079
54.671,41.924
54.594,41.769
54.516,41.614
54.438,41.458
54.359,41.303
54.280,41.149
54.200,40.996
54.120,40.845
54.040,40.694
53.960,40.544
53.881,40.396
53.803,40.249
53.726,40.104
53.650,39.960
53.575,39.818
53.502,39.677
53.430,39.538
53.361,39.401
53.294,39.266
53.230,39.132
53.169,39.001
53.110,38.871
53.055,38.744
53.003,38.619
52.954,38.496
52.910,38.375
52.869,38.257
52.832,38.140
52.798,38.024
52.767,37.908
52.739,37.793
52.714,37.677
52.691,37.561
52.670,37.444
52.652,37.325
52.635,37.204
52.620,37.080
52.607,36.954
52.594,36.824
52.583,36.691
52.573,36.553
52.563,36.411
52.554,36.264
52.545,36.114
52.537,35.960
52.529,35.803
52.522,35.645
52.516,35.484
52.510,35.323
52.505,35.161
52.501,34.999
52.497,34.838
52.494,34.678
52.492,34.519
52.490,34.363
