species,identifier,higher_taxon,common_name,highest_common_name
Acanthopteroctetes unifascia,Acanthopteroctetes_unifascia_M_1477601198_lg,Neopseustoidea,Archaic bell moths,moths
Acanthopteroctetes unifascia,MCZ-ENT00754647_Acanthopteroctetes_unifascia_had,Neopseustoidea,Archaic bell moths,moths
Acrocercops transecta,transecta_Acrocercops_A_EIHU,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
Actias luna,MCZ-ENT00639291_Actias_luna_had,Bombycoidea,Sphynx/Silk moths,moths
Actias luna,MCZ-ENT00639295_Actias_luna_had,Bombycoidea,Sphynx/Silk moths,moths
Actias luna,UDCC_TCN_00062177_1487105077_lg,Bombycoidea,Sphynx/Silk moths,moths
Actias luna,UDCC_TCN_00062222_1487351569_lg,Bombycoidea,Sphynx/Silk moths,moths
Adhemarius daphne,BC-EMEM_%5B292%5D%2B1165507284,Bombycoidea,Sphynx/Silk moths,moths
Agathiphaga queenslandensis,10ANIC_03227%2B1287104404,Agathiphagoidea,Kauri moths,moths
Agrotis infusa,Preview001,Noctuoidea,Owlet moths,moths
Alucita desmodactyla,MCZ-ENT00754689_Alucita_desmodactyla_lbs,Alucitoidea,Many-plumed moths,moths
Alucita desmodactyla,MCZ-ENT00754690_Alucita_desmodactyla_had,Alucitoidea,Many-plumed moths,moths
Alucita desmodactyla,MCZ-ENT00754691_Alucita_desmodactyla_had,Alucitoidea,Many-plumed moths,moths
Alucita desmodactyla,MCZ-ENT00754692_Alucita_desmodactyla_had,Alucitoidea,Many-plumed moths,moths
Alucita desmodactyla,MCZ-ENT00754693_Alucita_desmodactyla_had,Alucitoidea,Many-plumed moths,moths
Alucita desmodactyla,MCZ-ENT00754696_Alucita_desmodactyla_had2,Alucitoidea,Many-plumed moths,moths
Amata phegea,057-04-Amata_phegea_(5557),Noctuoidea,Owlet moths,moths
Amata phegea,2EE7B9E9027418FBB8CAF562A9B51F38B207EC4F8305D0EB1CD4AD0FC41EB43C,Noctuoidea,Owlet moths,moths
Amata phegea,3147B5A0FFA94C2BB241FC008EE0DE32457A294613E79AA69357EE4084D320B6,Noctuoidea,Owlet moths,moths
Amata phegea,45320922E3A0512DF785B963929B43E8AAB73F30A6742EB9893C4D415A386A2E,Noctuoidea,Owlet moths,moths
Amata phegea,6000F4EF25BAE91F7ED0A7E3A3CF337D71421F4AD644F2B7D7541A15A30AC71E,Noctuoidea,Owlet moths,moths
Amata phegea,8FA6741E2CBF52F6FE16B77F51043F9F825361C19F20548BE1A7BE636769EE04,Noctuoidea,Owlet moths,moths
Amata phegea,91815F1F225202F8485D1DD08A4FB99BF25FD53B2D834DF9D10D824DED073466,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,04631573-b340-4e04-955b-79f919c94d70_image,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,350463,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,3c48ce08-3be7-4a06-b068-10ec351e16fb_image,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,69A280AABB611685C5A6FCA5ECBAA6CE708EA8E43BDD4E917B81301D39D9E7AE,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,6b4f0a52-a0ca-4bb6-8423-bfaa7d366723_image,Noctuoidea,Owlet moths,moths
Amphipyra pyramidea,Amphipyra pyramidea_Preview001,Noctuoidea,Owlet moths,moths
